Label,docId,Value,organize
Willis Towers Watson,fbi8,9,U-haul
Hospital Universitario Josep Trueta,fbi4,9,First Union Bank
Aig,fbi20,9,Virginia National Bank
State Bank Of India,fbi8,9,United Connector
Fedex Express,fbi3,9,United
Novo Nordisk,fbi4,9,Empire State Vending Services
Mynet,fbi10,9,New York Stock Exchange
Vale,cia4,9,University of Virginia
Itaãº Unibanco,cia5,9,City Computer Services Corp.
H&R Block,fbi21,9,Clark &amp; Co
Sncf,"fbi12,fbi10",9,Office Supplies Co.
Social Security Administration,fbi23,9,Select Gourmet Foods
"Bright Futures, A College And Career Management Company",fbi10,9,First Union National Bank
Costco Wholesale,fbi11,9,Pyramid Bank of Cairo
Thales,fbi19,9,Central Bank of Dubai
Convergys,fbi7,9,Sealink Container Corp.
Ministry Of Education,fbi10,9,Al Qaeda
Tesco Plc,cia10,9,Taliban
Iqvia,cia7,9,Marvel Corporation
Salesforce,cia5,9,German Intelligence
FBI,cia4,9,American Diplomatic Mission Headquarters
Prefeitura Municipal,cia3,9,British Special Branch
The Dow Chemical Company,fbi2,9,M15
Forza Silicon,fbi1,9,Sprint
Hilton Worldwide,cia7,9,US Post Office
Los Angeles Unified School District,cia5,9,INS
Army National Guard,cia4,9,Bush Intercontinental Airport
Military,cia3,9,Continental Airlines
Lifespan,fbi2,9,Reagan National Airport
Fedex,cia5,9,The Powhatan Company
Edward Jones,fbi21,9,Pentagon
Particular,"fbi12,fbi10",9,Home Depot
Travelers,fbi23,9,American Airlines
Fresher,fbi10,9,Border Patrol
Boehringer Ingelheim,fbi11,9,University of Texas
State Street,fbi19,9,Apex Paper Products Company
Private,fbi7,9,Aryan Nations
The Walt Disney Company,fbi10,9,Army CID
Nielsen,cia10,9,Ryder Truck Rental
Emirates,cia7,9,Budget Storage Units
Lg Electronics,cia5,9,Beth Israel
Bombardier,cia4,9,Coast Guard
Herbalife,cia3,9,Passport Agency
Northwestern Mutual,fbi2,9,AMTRAK
Valeo,fbi1,9,Penn Station NYC
Eaton,cia7,9,U-haul
Aflac,cia5,9,First Union Bank
United Nations,cia4,9,Virginia National Bank
Flextronics,cia3,9,United Connector
Standard Bank Group,fbi2,9,United
