Label,docId,Value,organize
Huawei Technologies,fbi8,9,U-haul
Dell,fbi4,9,First Union Bank
Gsk,fbi20,9,Virginia National Bank
Honeywell,fbi8,9,United Connector
Sap,fbi3,9,United
Schlumberger,fbi4,9,Empire State Vending Services
Lockheed Martin,fbi10,9,New York Stock Exchange
"Ayatama Energi, Trisco Nusantara",cia4,9,University of Virginia
Abb,cia5,9,City Computer Services Corp.
American Center Of Krasnodar,fbi21,9,Clark &amp; Co
Starbucks,"fbi12,fbi10",9,Office Supplies Co.
Promobroker Agente De Seguros Y De Fianzas S A De C V,fbi23,9,Select Gourmet Foods
Morgan Stanley,fbi10,9,First Union National Bank
The Home Depot,fbi11,9,Pyramid Bank of Cairo
Independiente,fbi19,9,Central Bank of Dubai
Novartis,fbi7,9,Sealink Container Corp.
Johnson & Johnson,fbi10,9,Al Qaeda
Bp,cia10,9,Taliban
Schneider Electric,cia7,9,Marvel Corporation
State Farm,cia5,9,German Intelligence
Secretarã­A De Educaciã³N Pãºblica,cia4,9,American Diplomatic Mission Headquarters
Dhl,cia3,9,British Special Branch
My Home,fbi2,9,M15
Tesla,fbi1,9,Sprint
General Motors,cia7,9,US Post Office
Google,cia5,9,INS
Ubs,cia4,9,Bush Intercontinental Airport
Procter & Gamble,cia3,9,Continental Airlines
Walgreens,fbi2,9,Reagan National Airport
"Keller Williams Realty, Inc.",cia5,9,The Powhatan Company
"Lowe'S Companies, Inc.",fbi21,9,Pentagon
Verbum Traducciã³N Y Ediciã³N,"fbi12,fbi10",9,Home Depot
United States Marine Corps,fbi23,9,American Airlines
Dell Emc,fbi10,9,Border Patrol
Tech Mahindra,fbi11,9,University of Texas
Verizon Wireless,fbi19,9,Apex Paper Products Company
Sanofi,fbi7,9,Aryan Nations
Bnp Paribas,fbi10,9,Army CID
Sodexo,cia10,9,Ryder Truck Rental
Deutsche Bank,cia7,9,Budget Storage Units
Tencent,cia5,9,Beth Israel
J.P. Morgan,cia4,9,Coast Guard
Verizon,cia3,9,Passport Agency
Loreal,fbi2,9,AMTRAK
Kpmg,fbi1,9,Penn Station NYC
Orange,cia7,9,U-haul
Linkedin,cia5,9,First Union Bank
Barclays,cia4,9,Virginia National Bank
Facebook,cia3,9,United Connector
Northrop Grumman Corporation,fbi2,9,United
