Label,docId,Value,organize
Own Businees,fbi4,9,U-haul
Youtube,fbi20,9,First Union Bank
U.S. Department Of State,fbi8,9,Virginia National Bank
Cecaci,fbi3,9,United Connector
Mars,fbi4,9,United
Lic,fbi10,9,Empire State Vending Services
Sabic,cia4,9,New York Stock Exchange
Bsnl,cia5,9,University of Virginia
Danone,fbi21,9,City Computer Services Corp.
Usaa,"fbi12,fbi10",9,Clark &amp; Co
Chicago Public Schools,fbi23,9,Office Supplies Co.
Le Groupe La Poste,fbi10,9,Select Gourmet Foods
Bmo Financial Group,fbi11,9,First Union National Bank
Fresenius Medical Care,fbi19,9,Pyramid Bank of Cairo
Cushman & Wakefield,fbi7,9,Central Bank of Dubai
Ing,fbi10,9,Sealink Container Corp.
Rolls-Royce,cia10,9,Al Qaeda
Cigna,cia7,9,Taliban
Ymca,cia5,9,Marvel Corporation
Prudential Financial,cia4,9,German Intelligence
Saipem,cia3,9,American Diplomatic Mission Headquarters
Bosch,fbi2,9,British Special Branch
Rodan + Fields,fbi1,9,M15
Rr Donnelley,cia7,9,Sprint
Vmware,cia5,9,US Post Office
University Of Washington,cia4,9,INS
Penn State University,cia3,9,Bush Intercontinental Airport
Texas Instruments,fbi2,9,Continental Airlines
Michelin,cia5,9,Reagan National Airport
Baxter International Inc.,fbi21,9,The Powhatan Company
Sakri It Solutions Pvt Ltd,"fbi12,fbi10",9,Pentagon
Rabobank,fbi23,9,Home Depot
Cardinal Health,fbi10,9,American Airlines
Amway,fbi11,9,Border Patrol
Adecco,fbi19,9,University of Texas
Bb&T,fbi7,9,Apex Paper Products Company
Saic,fbi10,9,Aryan Nations
Bureau Veritas,cia10,9,Army CID
Faurecia,cia7,9,Ryder Truck Rental
Sas,cia5,9,Budget Storage Units
Indite Technologies,cia4,9,Beth Israel
Mahindra Satyam,cia3,9,Coast Guard
Coldwell Banker,fbi2,9,Passport Agency
Orange Business Services,fbi1,9,AMTRAK
Monsanto Company,cia7,9,Penn Station NYC
Manpowergroup,cia5,9,U-haul
American Red Cross,cia4,9,First Union Bank
Kelly Services,cia3,9,Virginia National Bank
Time Warner Cable,fbi2,9,United Connector
Life Of Pie,fbi2,9,United
