Label,docId,Value,organize
Baker Hughes,fbi8,9,U-haul
Tesla Motors,fbi4,9,First Union Bank
Genpact,fbi20,9,Virginia National Bank
Google,fbi8,9,United Connector
Ford Motors,fbi3,9,United
U.S. Bank,fbi4,9,Empire State Vending Services
Larsen & Toubro,fbi10,9,New York Stock Exchange
Continental,cia4,9,University of Virginia
Pnc,cia5,9,City Computer Services Corp.
Sprint,fbi21,9,Clark &amp; Co
Saudi Aramco,"fbi12,fbi10",9,Office Supplies Co.
G4S,fbi23,9,Select Gourmet Foods
Airbus,fbi10,9,First Union National Bank
Capital One,fbi11,9,Pyramid Bank of Cairo
Delta Air Lines,fbi19,9,Central Bank of Dubai
Carrefour,fbi7,9,Sealink Container Corp.
Ninguna,fbi10,9,Al Qaeda
Merrill Lynch,cia10,9,Taliban
Mondelä“Z International,cia7,9,Marvel Corporation
Bt,cia5,9,German Intelligence
H&M,cia4,9,American Diplomatic Mission Headquarters
Anz,cia3,9,British Special Branch
Farmers Insurance,fbi2,9,M15
Aecom,fbi1,9,Sprint
United States Department Of Defense,cia7,9,US Post Office
Metlife,cia5,9,INS
Total,cia4,9,Bush Intercontinental Airport
Ikea Group,cia3,9,Continental Airlines
Cargill,fbi2,9,Reagan National Airport
Bae Systems,cia5,9,The Powhatan Company
United Airlines,fbi21,9,Pentagon
Honda motors,"fbi12,fbi10",9,Home Depot
Mary Kay Inc.,fbi23,9,American Airlines
Toyota Motors,fbi10,9,Border Patrol
Comcast,fbi11,9,University of Texas
Caterpillar Inc.,fbi19,9,Apex Paper Products Company
Jacobs,fbi7,9,Aryan Nations
Bny Mellon,fbi10,9,Army CID
Raytheon,cia10,9,Ryder Truck Rental
Sociã©Tã© Gã©Nã©Rale,cia7,9,Budget Storage Units
Eli Lilly And Company,cia5,9,Beth Israel
Hp,cia4,9,Coast Guard
Eskom,cia3,9,Passport Agency
School,fbi2,9,AMTRAK
Uber,fbi1,9,Penn Station NYC
Lloyds Banking Group,cia7,9,U-haul
Kroger,cia5,9,First Union Bank
Thermo Fisher Scientific,cia4,9,Virginia National Bank
Renault,cia3,9,United Connector
Nhs Trust,fbi2,9,United
