Label,docId,Value,organize
Nedbank,fbi4,9,U-haul
Adobe,fbi20,9,First Union Bank
University Of Florida,fbi8,9,Virginia National Bank
Bell,fbi3,9,United Connector
Ecolab,fbi4,9,United
Bhp Billiton,fbi10,9,Empire State Vending Services
University Of Minnesota,cia4,9,New York Stock Exchange
Absa,cia5,9,University of Virginia
Bbc,fbi21,9,City Computer Services Corp.
Government Of Maharashtra,"fbi12,fbi10",9,Clark &amp; Co
"Ameriprise Financial Services, Inc.",fbi23,9,Office Supplies Co.
Unicredit,fbi10,9,Select Gourmet Foods
Mphasis,fbi11,9,First Union National Bank
Randstad,fbi19,9,Pyramid Bank of Cairo
Progressive Insurance,fbi7,9,Central Bank of Dubai
The Ohio State University,fbi10,9,Sealink Container Corp.
"Anthem, Inc.",cia10,9,Al Qaeda
Safeway,cia7,9,Taliban
Teleperformance,cia5,9,Marvel Corporation
Worleyparsons,cia4,9,German Intelligence
Korea Facilitators Association,cia3,9,American Diplomatic Mission Headquarters
British Airways,fbi2,9,British Special Branch
National Oilwell Varco,fbi1,9,M15
Aviva,cia7,9,Sprint
Syngenta,cia5,9,US Post Office
Magna International,cia4,9,INS
Walt Disney World,cia3,9,Bush Intercontinental Airport
Auchan,fbi2,9,Continental Airlines
Staples,cia5,9,Reagan National Airport
No-Company,fbi21,9,The Powhatan Company
The Salvation Army,"fbi12,fbi10",9,Pentagon
Inditex,fbi23,9,Home Depot
Barclays Investment Bank,fbi10,9,American Airlines
Toyota,fbi11,9,Border Patrol
Sherwin Williams,fbi19,9,University of Texas
Arcadis,fbi7,9,Apex Paper Products Company
Motorola,fbi10,9,Aryan Nations
Chubb,cia10,9,Army CID
Stanford University,cia7,9,Ryder Truck Rental
Mercer,cia5,9,Budget Storage Units
Airtel,cia4,9,Beth Israel
Colegio,cia3,9,Coast Guard
Sony,fbi2,9,Passport Agency
Genentech,fbi1,9,AMTRAK
Delphi,cia7,9,Penn Station NYC
Serco,cia5,9,U-haul
Bd,cia4,9,First Union Bank
Leroy Merlin,cia3,9,Virginia National Bank
Sct Ltd Co.,fbi2,9,United Connector
Life Of Pie,fbi2,9,United
