Label,docId,Value,organize
Ibm,fbi8,9,U-haul
Tata Consultancy Services,fbi4,9,First Union Bank
Accenture,fbi20,9,Virginia National Bank
Us Army,fbi8,9,United Connector
EY,fbi3,9,United
Hewlett-Packard,fbi4,9,Empire State Vending Services
Cognizant Technology Solutions,fbi10,9,New York Stock Exchange
Walmart,cia4,9,University of Virginia
Microsoft,cia5,9,City Computer Services Corp.
At&T,fbi21,9,Clark &amp; Co
United States Air Force,"fbi12,fbi10",9,Office Supplies Co.
Pwc,fbi23,9,Select Gourmet Foods
Wells Fargo,fbi10,9,First Union National Bank
Infosys,fbi11,9,Pyramid Bank of Cairo
Deloitte,fbi19,9,Central Bank of Dubai
Citi,fbi7,9,Sealink Container Corp.
Bank Of America,fbi10,9,Al Qaeda
Jpmorgan Chase & Co.,cia10,9,Taliban
Us Navy,cia7,9,Marvel Corporation
Amazon,cia5,9,German Intelligence
Apple,cia4,9,American Diplomatic Mission Headquarters
Siemens,cia3,9,British Special Branch
Oracle,fbi2,9,M15
Nokia,fbi1,9,Sprint
Education Nationale,cia7,9,US Post Office
Capgemini,cia5,9,INS
Wipro Consultancy Services,cia4,9,Bush Intercontinental Airport
Hsbc,cia3,9,Continental Airlines
Google,fbi2,9,Reagan National Airport
United States Postal Service,cia5,9,The Powhatan Company
Mcdonald'S Corporation,fbi21,9,Pentagon
Ericsson,"fbi12,fbi10",9,Home Depot
Nhs,fbi23,9,American Airlines
Boeing,fbi10,9,Border Patrol
Vodafone,fbi11,9,University of Texas
Kaiser Permanente,fbi19,9,Apex Paper Products Company
Ford Motor Company,fbi7,9,Aryan Nations
Intel Corporation,fbi10,9,Army CID
Department Of Veterans Affairs,cia10,9,Ryder Truck Rental
Cisco,cia7,9,Budget Storage Units
General Motors,cia5,9,Beth Israel
Pepsico,cia4,9,Coast Guard
Target,cia3,9,Passport Agency
Shell,fbi2,9,AMTRAK
Hcl Technologies,fbi1,9,Penn Station NYC
Ups,cia7,9,U-haul
Pfizer,cia5,9,First Union Bank
Unilever,cia4,9,Virginia National Bank
Returnal Consultancy services,cia3,9,United Connector
Unitedhealth Group,fbi2,9,United
