Label,docId,Value,organize
Bradesco,fbi4,9,U-haul
Boston Scientific,fbi20,9,First Union Bank
Stay At Home Mom,fbi8,9,Virginia National Bank
Lenovo,fbi3,9,United Connector
Nationwide Insurance,fbi4,9,United
Nissan Motor Corporation,fbi10,9,Empire State Vending Services
Amazon Web Services,cia4,9,New York Stock Exchange
Philip Morris International,cia5,9,University of Virginia
Alstom,fbi21,9,City Computer Services Corp.
Cummins Inc.,"fbi12,fbi10",9,Clark &amp; Co
Centurylink,fbi23,9,Office Supplies Co.
Psa Peugeot Citroã«N,fbi10,9,Select Gourmet Foods
European Commission,fbi11,9,First Union National Bank
Amgen,fbi19,9,Pyramid Bank of Cairo
Abn Amro Bank N.V.,fbi7,9,Central Bank of Dubai
Cvs Pharmacy,fbi10,9,Sealink Container Corp.
Trw,cia10,9,Al Qaeda
Ncr Corporation,cia7,9,Taliban
Akzonobel,cia5,9,Marvel Corporation
Amdocs,cia4,9,German Intelligence
Abbvie,cia3,9,American Diplomatic Mission Headquarters
Arcelormittal,fbi2,9,British Special Branch
Free Lance,fbi1,9,M15
Jaguar Land Rover,cia7,9,Sprint
Autã´Noma,cia5,9,US Post Office
Sgs,cia4,9,INS
Wipro Infotech,cia3,9,Bush Intercontinental Airport
Aramark,fbi2,9,Continental Airlines
"Ministero Istruzione, Universita' E Ricerca",cia5,9,Reagan National Airport
Samsung,fbi21,9,The Powhatan Company
Kuehne + Nagel,"fbi12,fbi10",9,Pentagon
Cerner Corporation,fbi23,9,Home Depot
Mckinsey & Company,fbi10,9,American Airlines
Kimberly-Clark,fbi11,9,Border Patrol
Caixa Economica Federal,fbi19,9,University of Texas
"Biocolloids Fate And Transport In Environmental Systems, Network Biomet",fbi7,9,Apex Paper Products Company
Agilent Technologies,fbi10,9,Aryan Nations
Upwork,cia10,9,Army CID
Whole Foods Market,cia7,9,Ryder Truck Rental
Comcast Cable,cia5,9,Budget Storage Units
Indra,cia4,9,Beth Israel
Southwest Airlines,cia3,9,Coast Guard
Mid Managing International Diffusion,fbi2,9,Passport Agency
Stryker,fbi1,9,AMTRAK
International Mission Of Mercy (Imm),cia7,9,Penn Station NYC
British American Tobacco,cia5,9,U-haul
Nordea,cia4,9,First Union Bank
Bank Of America Merrill Lynch,cia3,9,Virginia National Bank
Publix Super Markets,fbi2,9,United Connector
Life Of Pie,fbi2,9,United
