Label,docId,Value,organize
Time Flies,fbi8,9,U-haul
The Orchid,fbi4,9,First Union Bank
Hair Today,fbi20,9,Virginia National Bank
Curl Up And Dye,fbi8,9,United Connector
Hairhouse,fbi3,9,United
Dye Hard,fbi4,9,Empire State Vending Services
Uncharted Museum,fbi10,9,New York Stock Exchange
Hair We Go,cia4,9,University of Virginia
Hair To Please,cia5,9,City Computer Services Corp.
Shearly Beloved,fbi21,9,Clark &amp; Co
Nail Salon,"fbi12,fbi10",9,Office Supplies Co.
Arkense Mall,fbi23,9,Select Gourmet Foods
Locksmith,fbi10,9,First Union National Bank
Loose Ends,fbi11,9,Pyramid Bank of Cairo
Split Ends,fbi19,9,Central Bank of Dubai
RazorS Edge,fbi7,9,Sealink Container Corp.
Get Buzzed,fbi10,9,Al Qaeda
The Pie Chart,cia10,9,Taliban
Marvel,cia7,9,Marvel Corporation
Get Sconed,cia5,9,German Intelligence
The Upper Crust,cia4,9,American Diplomatic Mission Headquarters
Gone A Rye,cia3,9,British Special Branch
Just Roll With It,fbi2,9,M15
I Loaf You,fbi1,9,Sprint
Fashion Mall,cia7,9,US Post Office
Lincoln Museum,cia5,9,INS
The Tipsy Tavern,cia4,9,Bush Intercontinental Airport
Tequila Mockingbird,cia3,9,Continental Airlines
Wish You Were Beer,fbi2,9,Reagan National Airport
The Shakesbeer,cia5,9,The Powhatan Company
Ale Aboard,fbi21,9,Pentagon
American Airlines,"fbi12,fbi10",9,Home Depot
The Grapevine,fbi23,9,American Airlines
Pie In The Sky,fbi10,9,Border Patrol
The Cod Father,fbi11,9,University of Texas
Thai Me Up,fbi19,9,Apex Paper Products Company
Nim Come Soup,fbi7,9,Aryan Nations
The Nosh Pit,fbi10,9,Army CID
Struck By Whitening,cia10,9,Ryder Truck Rental
Caps And Crowns,cia7,9,Budget Storage Units
The Whole Tooth,cia5,9,Beth Israel
Harley Museum,cia4,9,Coast Guard
Pearls Of Wisdom,cia3,9,Passport Agency
Doha Mall,fbi2,9,AMTRAK
You Know The Drill,fbi1,9,Penn Station NYC
Shawshank,cia7,9,U-haul
Wok This Way,cia5,9,First Union Bank
Lord Of The Fries,cia4,9,Virginia National Bank
Pita Piper,cia3,9,United Connector
Life Of Pie,fbi2,9,United
