Label,docId,Value,organize
Sprint,"se1,fbi17,fbi11",7,Sprint
US Post Office,fbi9,7,US Post Office
Intelligence Agency,"fbi8,fbi11,cia4",7,INS
Bush Intercontinental Airport,fbi8,7,Bush Intercontinental Airport
Continental Airlines,fbi8,7,Continental Airlines
Reagan National Airport,fbi8,7,Reagan National Airport
The Powhatan Company,fbi7,7,The Powhatan Company
Pentagon,fbi6,7,Pentagon
Home Depot,fbi6,7,Home Depot
American Airlines,"fbi5,fbi14,cia1",7,American Airlines
Border Patrol,fbi5,7,Border Patrol
University of Texas,fbi5,7,University of Texas
Apex Paper,fbi4,7,Apex Paper Products Company
Aryan Nations,fbi4,7,Aryan Nations
Army CID,fbi4,7,Army CID
Ryder Truck Rental,fbi3,7,Ryder Truck Rental
Budget Storage Units,"fbi24,fbi20",7,Budget Storage Units
Beth Israel,fbi23,7,Beth Israel
Coast Guard,fbi21,7,Coast Guard
Passport Agency,fbi2,7,Passport Agency
AMTRAK,fbi19,7,AMTRAK
Penn Station NYC,fbi19,7,Penn Station NYC
Game Center,fbi18,7,U-haul
American Bank,"fbi16,fbi15",7,First Union Bank
Virginia National Bank,fbi15,7,Virginia National Bank
United Connector,fbi14,7,United Connector
United Airlines,"fbi14,fbi14",7,United
Empire State Vending Services,"fbi13,fbi10",7,Empire State Vending Services
New York Stock Exchange,"fbi12,fbi10",7,New York Stock Exchange
Indian Army,fbi11,7,University of Virginia
City Computer Services Corp.,fbi10,7,City Computer Services Corp.
Health Center,fbi10,7,Clark &amp; Co
Office Supplies Co.,fbi10,7,Office Supplies Co.
Select Gourmet Foods,fbi1,7,Select Gourmet Foods
First Union Bank,fbi1,7,First Union National Bank
Pyramid Bank,fbi1,7,Pyramid Bank of Cairo
Dubai Bank,fbi1,7,Central Bank of Dubai
Sealink Company,cia8,7,Sealink Container Corp.
FBI,"cia7,cia4,cia10",7,Al Qaeda
CIA,"cia6,cia11",7,Taliban
Marvel Corporation,cia6,7,Marvel Corporation
German Intelligence,cia6,7,German Intelligence
University of Virginia,cia5,7,American Diplomatic Mission Headquarters
British Special Branch,cia1,7,British Special Branch
M15,cia1,7,M15
Catholic Relief Services,fbi10,7,Sprint
Diversity Center,fbi21,7,US Post Office
Politics Center,fbi3,7,INS
Water for the Poor,fbi18,7,Bush Intercontinental Airport
Child Care Services,cia1,7,Continental Airlines
Feed The Poor,"fbi14,fbi14",7,Reagan National Airport
Chicago Golf Club,fbi1,7,The Powhatan Company
Health Center,fbi4,7,Pentagon
Dunder Co.,fbi1,7,Home Depot
Doctors Org.,fbi19,7,American Airlines
Santos Club,fbi11,7,Border Patrol
Green Peace,cia1,7,University of Texas
Olufsen Institute,fbi8,7,Apex Paper Products Company
Houston Studio,fbi6,7,Aryan Nations
Houston Bank,"fbi24,fbi20",7,Army CID
Ocean Conservancy,fbi14,7,Ryder Truck Rental
Game Center,fbi5,7,Budget Storage Units
Rockstar Studios,fbi4,7,Beth Israel
Returnal,"cia6,cia11",7,Coast Guard
Ronald McDonald,fbi9,7,Passport Agency
Seniors Coalition,cia8,7,AMTRAK
Sleepy Hollow,fbi7,7,Penn Station NYC
Smithsonian Institution,"fbi8,fbi11,cia4",7,U-haul
The Impact Foundry,fbi1,7,First Union Bank
The Museum of Modern Art,fbi15,7,Virginia National Bank
Women Employed,fbi8,7,United Connector
World Medical Relief,"cia7,cia4,cia10",7,United
World Resources Institutes,fbi1,7,Empire State Vending Services
Wreaths Across America,fbi5,7,New York Stock Exchange
YES to YOUTH,"fbi13,fbi10",7,University of Virginia
Sundance Institute,fbi10,7,City Computer Services Corp.
Teach for America,cia6,7,Clark &amp; Co
Making Memories,"fbi5,fbi14,cia1",7,Office Supplies Co.
One-of-a-Kind Creations,docId,7,Select Gourmet Foods
For the Poor,fbi4,7,First Union National Bank
They Need Help,cia6,7,Pyramid Bank of Cairo
Helping Hands,cia5,7,Central Bank of Dubai
For the Love of Sports,fbi2,7,Sealink Container Corp.
Purple Fox,"fbi16,fbi15",7,Al Qaeda
Rose Canyon,fbi6,7,Taliban
Sapphire Stars,"fbi12,fbi10",7,Marvel Corporation
The Turquoise Elephant,fbi23,7,German Intelligence
Silver Stag,fbi19,7,American Diplomatic Mission Headquarters
Cardinal & Pine,"se1,fbi17,fbi11",7,British Special Branch
White Cotton Tee,fbi10,7,M15
Corduroy & Satin,fbi8,7,Sprint
Log Cabin,cia8,7,US Post Office
Pink Plaid,fbi6,7,INS
Cambridge Avenue,fbi4,7,Bush Intercontinental Airport
Morningside Heights,fbi14,7,Continental Airlines
Greenleaf Court,"fbi8,fbi11,cia4",7,Reagan National Airport
Winthrop Park,fbi5,7,The Powhatan Company
Victoria Glen,fbi8,7,Pentagon
River Stone,se2,7,Home Depot
The Watercolor,fbi4,7,American Airlines
Pink Crescent Moon,fbi15,7,Border Patrol
Dewdrops & Sunlight,fbi5,7,University of Texas
Ready Home,fbi19,7,Apex Paper Products Company
Green House,fbi1,7,Aryan Nations
Decluttering Burst,docId,7,Army CID
Complete Look,fbi6,7,Ryder Truck Rental
House Spic,cia1,7,Budget Storage Units
Base Fresh,"fbi16,fbi15",7,Beth Israel
Place Tonic,fbi10,7,Coast Guard
Libra Foundation,"cia6,cia11",7,Passport Agency
The Salvation Army,cia6,7,AMTRAK
Dove Trust fund,fbi5,7,Penn Station NYC
Story Corps,fbi2,7,U-haul
Gracious Givers,fbi9,7,First Union Bank
Greater Purpose,fbi1,7,Virginia National Bank
My Donation Connection,fbi1,7,United Connector
Epilepsy Outlook,cia1,7,United
Fight Cancer Charity,fbi1,7,Empire State Vending Services
Generous Hearts,cia6,7,New York Stock Exchange
Spring world Charities inc,fbi18,7,University of Virginia
Hunger Solution inc,"fbi13,fbi10",7,City Computer Services Corp.
Tip of the Hats,fbi8,7,Clark &amp; Co
Funding Child Dreams,fbi4,7,Office Supplies Co.
Epilepsy Foundation,fbi20,7,Select Gourmet Foods
Saved Dreams,fbi8,7,First Union National Bank
Refresh Bolivia,fbi3,7,Pyramid Bank of Cairo
Utopian world Charities,fbi4,7,Central Bank of Dubai
The Donation Time,fbi10,7,Sealink Container Corp.
Brand new life Org,cia4,7,Al Qaeda
Serenity Org,cia5,7,Taliban
Life Love Charity,fbi21,7,Marvel Corporation
Jain Foundation,"fbi12,fbi10",7,German Intelligence
Dream Center,fbi23,7,American Diplomatic Mission Headquarters
For the Children,fbi10,7,British Special Branch
Goal Quest,fbi11,7,M15
Africare,fbi19,7,Sprint
Wreaths Across America,fbi7,7,US Post Office
Samsara Foundation,fbi10,7,INS
Feed my People,cia10,7,Bush Intercontinental Airport
Conservation International,cia7,7,Continental Airlines
Spirit of Giving,cia5,7,Reagan National Airport
Clever Charity,cia4,7,The Powhatan Company
Carbon Fund,cia3,7,Pentagon
Nationwide Research Fund,fbi2,7,Home Depot
Ocean Conservancy,fbi1,7,American Airlines
Houston Endowment,cia7,7,Border Patrol
Angel Time,cia5,7,University of Texas
Varkey Foundation,cia4,7,Apex Paper Products Company
Allegheny Foundation,cia3,7,Aryan Nations
Network for Good,fbi2,7,Army CID
White Wolf Technologies,fbi19,7,Ryder Truck Rental
Titanium Solutions,fbi18,7,Budget Storage Units
White Wolf Arts,"fbi16,fbi15",7,Beth Israel
Joytechs,fbi15,7,Coast Guard
Chiefoods,fbi14,7,Passport Agency
Jupitelligence,"fbi14,fbi14",7,AMTRAK
Goblintelligence,"fbi13,fbi10",7,Penn Station NYC
Petalworth,fbi9,7,U-haul
Pixelworth,"fbi8,fbi11,cia4",7,First Union Bank
Forestshine,fbi8,7,Virginia National Bank
Orc Systems,fbi8,7,United Connector
Cavern Arts,fbi8,7,United
Berry Industries,fbi7,7,Empire State Vending Services
Goldustries,fbi6,7,New York Stock Exchange
Stardustechnologies,fbi6,7,University of Virginia
Microlutions,"fbi5,fbi14,cia1",7,City Computer Services Corp.
Allico,fbi5,7,Clark &amp; Co
Dynamicsun,fbi5,7,Office Supplies Co.
Lionessdew,fbi4,7,Select Gourmet Foods
Accentshack,fbi4,7,First Union National Bank
Rose,fbi4,7,Pyramid Bank of Cairo
Enigma Softwares,fbi3,7,Central Bank of Dubai
Prodigy Systems,"fbi24,fbi20",7,Sealink Container Corp.
Oracleutions,fbi23,7,Al Qaeda
Berrycords,fbi21,7,Taliban
Padlockurity,fbi2,7,Marvel Corporation
Topiarytelligence,fbi19,7,German Intelligence
Nymphworth,fbi19,7,American Diplomatic Mission Headquarters
Spirithouse,fbi18,7,British Special Branch
Mermaidman,"fbi16,fbi15",7,M15
Angel Entertainment,fbi15,7,Sprint
Voyage Enterprises,fbi14,7,US Post Office
Hound Softwares,"fbi14,fbi14",7,INS
Spherecords,"fbi13,fbi10",7,Bush Intercontinental Airport
Zeusolutions,"fbi12,fbi10",7,Continental Airlines
Marsoftwares,fbi11,7,Reagan National Airport
Crowares,fbi10,7,The Powhatan Company
Gemmaster,fbi10,7,Pentagon
Squidworld,fbi10,7,Home Depot
Ridgeworld,fbi1,7,American Airlines
OptimEngagement,fbi1,7,Border Patrol
Final Level,fbi1,7,University of Texas
End Point,fbi1,7,Apex Paper Products Company
Wildflowers,cia8,7,Aryan Nations
Top Catch,"cia7,cia4,cia10",7,Army CID
Premium Integrations,"cia6,cia11",7,Ryder Truck Rental
Bits & Pieces,cia6,7,Budget Storage Units
Etc. ,cia6,7,Beth Israel
Into the Unknown,cia5,7,Coast Guard
The Wonder Collective,cia1,7,Passport Agency
Dream Scenes,cia1,7,AMTRAK
