Label,docId,Value,organize
Subway,fbi4,9,U-haul
Mayo Hospital,fbi20,9,First Union Bank
Booz Allen Hamilton,fbi8,9,Virginia National Bank
Allianz,fbi3,9,United Connector
Telstra,fbi4,9,United
Qualcomm,fbi10,9,Empire State Vending Services
John Deere,cia4,9,New York Stock Exchange
Aetna,cia5,9,University of Virginia
Enterprise Rent-A-Car,fbi21,9,City Computer Services Corp.
University Of Michigan,"fbi12,fbi10",9,Clark &amp; Co
Alberta Health Services,fbi23,9,Office Supplies Co.
Us Department Of Homeland Security,fbi10,9,Select Gourmet Foods
Commonwealth Bank,fbi11,9,First Union National Bank
New York Life Insurance Company,fbi19,9,Pyramid Bank of Cairo
Siemens Clinic,fbi7,9,Central Bank of Dubai
Cibc,fbi10,9,Sealink Container Corp.
Adidas,cia10,9,Al Qaeda
Weatherford,cia7,9,Taliban
Fluor Corporation,cia5,9,Marvel Corporation
Pemex,cia4,9,German Intelligence
Sopra Steria,cia3,9,American Diplomatic Mission Headquarters
Hca,fbi2,9,British Special Branch
Bmw Group,fbi1,9,M15
Dupont,cia7,9,Sprint
Nessuna Azienda,cia5,9,US Post Office
Sears Holdings Corporation,cia4,9,INS
Cleveland Hospital,cia3,9,Bush Intercontinental Airport
Lafargeholcim,fbi2,9,Continental Airlines
Kohl'S Department Stores,cia5,9,Reagan National Airport
Humana,fbi21,9,The Powhatan Company
Primerica,"fbi12,fbi10",9,Pentagon
Axis Bank,fbi23,9,Home Depot
Coldwell Banker Residential Brokerage,fbi10,9,American Airlines
Bayer,fbi11,9,Border Patrol
Fujitsu,fbi19,9,University of Texas
Faa,fbi7,9,Apex Paper Products Company
Bbva,fbi10,9,Aryan Nations
University Of Michigan,cia10,9,Army CID
Banco Do Brasil,cia7,9,Ryder Truck Rental
Fis,cia5,9,Budget Storage Units
Foxconn,cia4,9,Beth Israel
Intercontinental Hospital,cia3,9,Coast Guard
Ge Power,fbi2,9,Passport Agency
Epam Systems,fbi1,9,AMTRAK
Pearson,cia7,9,Penn Station NYC
National Australia Bank,cia5,9,U-haul
Reliance,cia4,9,First Union Bank
Jcpenney,cia3,9,Virginia National Bank
Imss,fbi2,9,United Connector
Life Of Pie,fbi2,9,United
