cluster,map,person,x,y
1,"5,42,47","48,21",-0.324086166,0.786436222
2,"0,23,43","47,20",1.051091127,1.73294943
3,"12,13,15","42,10",0.361187466,1.044791674
4,"0,7,16,45","37,20",1.240138445,1.36699598
5,"8,16,27","33,20",-0.427158305,1.074710737
6,"2,19,47","31,28",0.330451312,1.727127228
7,"45,46,49","3,2",-0.251676512,-0.136967252
8,"15,30,46","3,10",0.763571708,0.297232659
9,"8,34,43","29,0",0.438552342,1.213469722
10,"7,10,42","26,21",-0.247926082,-0.237679727
11,"1,10,21,39","24,25",0.158072101,-0.038624491
12,"3,8,43","22,0",0.532500475,-0.329882349
