cluster,map,person,x,y
0,"2,36,41","19,33",1.350294389,1.396552896
1,"4,10,19,21","28,17",0.430705612,1.201019895
2,"2,10,28","45,19",1.913255706,0.209988187
3,"4,10,31","45,28",1.948736852,-0.419217839
4,"4,10,17","9,17",0.223858423,0.027814768
5,"4,10,38,44","9,28",-0.258726354,-0.052015398
6,"4,10,34","9,45",1.252137809,1.797938205
7,"21,38,48","18,28",0.187506981,0.34114071
8,"10,26,29","30,19",0.207435518,0.728741077
9,"10,18,45","25,19",0.346394086,-0.36402094
10,"14,32,39","40,21",0.027330616,-0.199071807
11,"11,34,44","41,9",0.30399929,-0.048740956
12,"11,13,45","41,32",0.262135509,1.940713713
