,cluster,map,person,x,y
1,1,"3,9,12,18,22,26","9,49",-0.026746597,0.921371526
2,2,"9,12,17,20,24,47","9,14",1.108072977,1.435046185
3,3,"2,6,8,10,15,44","44,25",0.01859199,1.246520029
4,4,"1,18,26,31,34,36,38,39,42","43,12",0.999401728,0.381541792
5,5,"20,22,26,28,31,36,39","4,12",-0.271852259,1.446923314
6,6,"12,17,18,30,36,42,47","38,19",-0.239045641,1.234823582
7,7,"12,15,17,24,42,46","33,19",0.661691049,-0.062737732
8,8,"2,6,15,34,41,44","27,25",0.358850814,0.672104713
9,9,"1,3,5,31,34,38","26,43",0.199821913,1.88713688
10,10,"1,16,22,31,34,38,48","26,12",1.451677443,0.595183566
11,11,"1,11,14,31,40,43","22,30",-0.155185452,1.000709431
12,12,"3,9,12,18,20,24","21,9",1.944124914,1.64735241
13,13,"12,17,24,30,42,47","14,19",1.099211784,0.6244644
14,14,"7,21,35,41,42,48","0,7",0.27355457,0.354177657
15,15,"3,21,22,38,41,48","0,26",1.085470592,-0.155545054
