cluster,person,organize,x,y
1,"20,24,37,40,41,46","47,37",-0.223560937,-0.358473596
2,"5,6,36,37,40,46,47","45,37",0.326408589,0.773480168
3,"9,20,26,28,41,47","4,37",0.119359325,0.490947735
4,"20,37,40,41,47","37,44",1.492280105,0.669890505
5,"1,10,17,27,39,42,47","25,40",0.671150082,1.084077418
6,"7,11,19,26,30,46","24,5",0.03288996,1.346827815
7,"12,32,35,40,47","23,44",0.902549663,1.671289923
8,"0,11,12,20,21,41,47","20,44",1.995265185,0.520776633
9,"2,12,20,22,30,37","15,44",0.850348732,0.380020154
10,"0,20,21,32,40,41,47","11,44",-0.421741698,0.020494852
11,"0,15,20,21,32,36,43","11,42",-0.085343379,1.577352672
12,"9,20,36,40,41,47","11,37",1.865541233,0.801285925
13,"1,21,26,32,39,43","1,42",1.029293795,0.250420193
