cluster,map,person,x,y
1,"19,35,36","39,12",1.570885074,0.09681572
2,"22,43,48","38,37",1.062566174,0.706047059
3,"12,20,35","36,48",0.702585951,1.629468407
4,"3,21,32","34,32",0.217435176,0.797540764
5,"2,4,12","27,3",-0.019865352,-0.10517229
6,"13,26,44","25,48",1.766599851,0.217542686
7,"5,13,21","25,32",0.401264845,1.983988012
8,"7,32,44","23,48",0.866778229,1.72985445
9,"5,6,13","21,32",0.642843055,0.816727892
10,"5,10,13","21,25",-0.283235454,1.639088642
11,"21,26,38","20,49",0.051191966,0.158728838
12,"28,37,38","20,18",-0.301740142,1.211140531
13,"17,24,39","10,37",0.848293912,1.224764612
