cluster,organize,map,x,y
1,"17,21,24","31,4",1.637088317,-0.3802725
2,"4,24,26","46,41",0.01388033,0.762149845
3,"11,24,43","46,31",1.600893387,-0.208151763
4,"17,29,33,45","5,4",1.400828882,0.59237965
5,"13,38,44","40,15",1.283196308,1.203074936
6,"8,11,17","27,31",0.372809772,0.930159249
7,"24,26,40","32,41",0.017168344,0.509091458
8,"11,27,48","39,12",0.199252676,1.692252464
9,"7,9,11","39,27",0.179554631,1.679277674
10,"7,14,27","9,39",1.791654687,0.850967474
11,"26,40,47","28,41",1.80313411,1.581581129
12,"26,34,40","28,32",-0.476179327,1.635620207
13,"27,38,41","26,15",0.0796189,-0.391691539
14,"11,24,48","19,31",-0.140650804,1.936294895
15,"1,11,24","19,46",1.135475689,1.243061771
