,cluster,organize,map,x,y
1,1,"4,20,35,38,41,44","8,32",-0.478638435,0.788208405
2,2,"10,14,38,43,47,49","8,28",1.776179554,1.389283336
3,3,"9,14,28,33,37,45","7,49",0.068851603,1.019726796
4,4,"3,9,14,16,28,36,49","7,28",1.536071372,0.972537744
5,5,"7,14,36,37,45,46","7,20",-0.127807432,-0.039057327
6,6,"1,14,37,38,43,45","49,20",-0.401899755,0.231938159
7,7,"3,4,20,35,42,44","48,32",0.124832859,0.788406171
8,8,"14,26,36,40,43,49","43,28",1.656527137,-0.492907946
9,9,"1,9,22,28,37,43","38,49",0.607545545,1.60563421
10,10,"1,19,37,39,40,43","38,20",-0.414038661,-0.493465603
11,11,"10,14,36,38,40,43","28,20",-0.258846613,-0.099659161
12,12,"7,8,14,36,39,43","23,43,20",-0.37340562,0.100660782
