cluster,map,person,x,y
1,"30,32,44","9,26",1.29567154,0.247361781
2,"30,32,48","9,24",0.977071409,0.752918199
3,"6,32,34","48,47",0.883017934,0.681897941
4,"7,18,43","44,25",0.29698254,-0.093517285
5,"7,23,43","40,25",1.126268064,-0.371591108
6,"1,42,48","38,28",1.155662736,0.361444404
7,"6,12,35","32,23",1.957509541,1.868785208
8,"3,25,32","27,47",-0.052602709,0.815792601
9,"20,22,27,32","26,6",1.802375689,-0.087152003
10,"8,30,35","24,34",1.198027088,0.645762023
11,"6,23,32","19,47",-0.284880114,0.181113455
12,"5,32,38","11,1",-0.320383676,0.664762483
13,"4,26,30","10,49",0.043484692,1.192016175
