,cluster,map,person,x,y
1,1,"2,4,9,16,25,47","9,4",0.80061457,0.028461049
2,2,"10,12,14,15,27,30,40","7,15",1.115452294,-0.121776429
3,3,"17,25,28,31,34,44","45,40",1.234547999,1.249599647
4,4,"15,17,23,31,34,46","45,30",0.279056188,1.379859258
5,5,"12,15,29,30,31,35","44,7",-0.000801115,0.49404612
6,6,"2,13,18,20,25,28","40,4",0.397917682,1.593339208
7,7,"5,13,16,20,25,28,47","4,47",1.308399124,-0.192481778
8,8,"10,16,20,30,34,42","35,20",-0.291167205,-0.413775293
9,9,"12,23,26,36,39,41,46","30,47",1.76207608,0.260404418
10,10,"0,7,16,22,30,40","3,15",1.659408759,0.672820007
11,11,"0,7,30,35,46,47","3,0",0.014261423,1.510934951
12,12,"5,13,14,23,41,47","27,47",0.70305016,0.59037602
13,13,"0,4,9,20,43,48","26,1",0.85537182,1.047979169
