,cluster,person,organize,x,y
1,1,"14,15,19,20,24,46","47,44",-0.425456421,1.943145095
2,2,"1,14,22,23,33,35,48","43,21",0.434280255,1.532900006
3,3,"13,27,31,33,42,43","4,2",-0.090694046,-0.297640201
4,4,"22,26,27,36,43,48","36,33",1.552758481,-0.391430904
5,5,"1,2,5,14,22,41","30,21",-0.225765583,0.566373186
6,6,"6,14,22,23,33,41","27,21",1.942514976,1.878495961
7,7,"6,7,18,22,38,41,47","27,14",0.794208736,1.444362417
8,8,"0,18,21,26,36,48","22,33",-0.01861699,0.943239005
9,9,"13,18,21,27,43,45","2,33",1.8609113,1.20232142
10,10,"4,5,19,20,27,35","19,44",0.053283463,-0.40386989
11,11,"10,12,13,25,30,37","17,35",1.70398275,1.399572606
