cluster,person,organize,x,y
1,"19,28,31","7,10",-0.158141384,0.906846631
2,"1,15,31","48,45",1.250836293,0.445898441
3,"1,25,29,31","48,16",0.971870126,1.092016981
4,"15,31,47","48,10",0.125817309,1.620913178
5,"15,18,38","46,25,10",0.499092931,1.225052899
6,"17,23,42","34,41",0.736469526,1.758565757
7,"1,16,31,41","30,45",0.408497773,1.141702273
8,"0,17,22","3,41",1.338448878,-0.107353568
9,"11,20,29","29,16",1.49741518,-0.410505564
10,"12,16,17","28,41",-0.24411079,0.983797584
11,"12,17,42","2,41",0.271008523,-0.449117367
12,"8,19,45","14,0",0.68062485,0.043734147
