cluster,organize,map,x,y
1,"0,8,15,21,25,30","9,25",1.901984922,1.579750444
2,"10,15,24,27,34,43","48,10,3",1.923386487,-0.329473193
3,"12,17,31,35,38,43","43,37",1.60070801,1.415466992
4,"3,8,9,14,15,38,48","42,25",0.819320554,0.665829175
5,"20,22,26,28,43,47","41,39",0.117812349,0.165705234
6,"4,12,13,17,18,29,43","39,37",1.25756254,1.927876361
7,"0,3,16,18,32,36,41,47","34,1",1.198574045,1.080007384
8,"1,9,11,15,20,24,34,35","30,35",1.625088266,1.663131071
9,"13,19,25,32,34,45","29,13",0.994331856,0.442873435
10,"1,5,9,11,20,34,37","24,35",1.963531957,0.733033672
11,"6,12,13,29,38,40","23,37",1.635585101,0.824020933
12,"0,8,14,29,38,48","23,25",1.473603152,-0.044894918
13,"6,9,21,28,31,46","21,7",0.972271169,0.101075587
14,"5,9,14,15,35,37","17,35",0.801535648,0.195458468
15,"10,23,27,31,32,43","10,41",-0.063871222,0.309042564
16,"13,16,18,32,35,40","1,37",-0.293908695,0.710635703
