,cluster,organize,map,x,y
1,1,"10,22,23,24,35,38","49,14",0.550361711,-0.148800086
2,2,"6,11,22,33,38,43","47,10",0.485774346,0.185793062
3,3,"10,17,22,24,33,36,43","47,1",-0.028508054,1.103707285
4,4,"2,10,15,36,41,43","45,1",-0.197372592,-0.192616629
5,5,"0,6,10,33,43,44","44,47",0.208363915,1.295079801
6,6,"5,8,9,12,25,30","43,23",-0.216587366,1.405747764
7,7,"6,16,22,41,42,47","40,12",1.082707081,1.700674688
8,8,"1,12,31,33,47,49","36,10",-0.107029792,1.516573994
9,9,"2,13,27,31,33,41,49","36,1",0.540642282,0.827257168
10,10,"1,3,5,8,9,25","28,43",1.709397327,1.635512972
11,11,"11,16,17,20,27,32,43","27,26",0.74665336,1.958654387
12,12,"7,11,20,26,32,41,45","27,17",1.241992434,-0.084320126
13,13,"11,12,30,38,40,43,47","26,10",-0.438270296,1.821010644
14,14,"0,6,15,19,25,28","25,2",-0.21082753,0.170923308
