cluster,map,person,x,y
1,"17,22,44","6,33",1.313914016,1.738122578
2,"8,17,22","6,26",-0.145127525,-0.210877534
3,"9,10,11","5,39",-0.194733699,0.42442756
4,"21,38,45","49,44",-0.280849673,-0.27611273
5,"0,7,16,43","43,44",1.191191154,0.56450011
6,"12,14,17","42,33",1.83141139,1.904545116
7,"19,21,40","40,49",-0.392287443,0.102513418
8,"9,14,19","40,39",1.943196266,0.265170745
9,"13,31,33,47","34,16",-0.018776742,0.299799568
10,"24,30,31","31,48",-0.4172791,1.237469192
11,"9,17,26","3,9",1.047694727,0.643274294
12,"9,31,33","3,16",1.30444573,1.586312017
13,"9,32,46","21,16",0.793289465,1.925311833
