cluster,map,person,x,y
1,"31,43,48","8,15",-0.174993318,0.197889321
2,"17,47,48","6,45",1.231945804,1.948440902
3,"5,11,34","47,39",1.9279025,-0.027386813
4,"12,19,36","46,38",0.688913395,0.642912642
5,"2,7,36","46,25",1.294437007,-0.208156326
6,"9,11,18,34","39,45",-0.028535164,0.309098426
7,"24,29,44","38,35",-0.369347336,0.475824624
8,"1,24,33,36","38,25",1.530251117,1.146879186
9,"12,28,33","38,1",1.905435661,1.031325958
10,"9,11,17","37,45",1.988791429,0.691375988
11,"0,5,31","3,23",1.995326229,0.982059759
12,"9,26,34","24,45",-0.032886301,-0.337340819
13,"4,9,24","24,35",1.006957229,-0.192626182
