,cluster,map,person,x,y
1,1,"1,5,8,10,31,49","5,8",1.531911366,1.547944408
2,2,"0,5,8,16,24,49","47,8",0.496714624,1.024895529
3,3,"0,4,5,14,16,46","47,40",0.734229435,1.012036338
4,4,"0,13,37,39,45,46","46,40",1.089381449,0.134636855
5,5,"5,7,20,22,40,43","43,21",0.404232931,-0.421894425
6,6,"10,40,41,44,47,48","41,37",1.967297514,1.174981172
7,7,"0,1,3,16,22,30","28,8",-0.173076507,0.030853134
8,8,"3,5,18,25,31,34,36,43","22,17",1.327235842,-0.024867457
9,9,"8,10,21,25,34,41","2,5",0.325795102,1.175846321
10,10,"0,13,28,39,44,45","18,46",1.400448618,0.871296958
11,11,"13,28,33,41,44,45","18,37",0.556238171,1.830672344
