,cluster,organize,map,x,y
1,1,"17,19,23,25,27,38","7,23",1.359828311,1.333757586
2,2,"4,8,12,13,36,38,48","6,36",1.95550658,1.638373569
3,3,"23,28,29,30,32,45","45,18",-0.255689968,1.920062675
4,4,"4,5,10,15,16,22","41,25",0.210785111,-0.278414463
5,5,"7,8,9,12,21,42","40,13",0.277873045,1.90304084
6,6,"3,7,10,20,28,37","38,25",1.900299391,-0.367641972
7,7,"3,18,29,30,34,41","31,29",1.902781773,1.456493152
8,8,"29,30,34,37,41,45","31,18",-0.092696821,-0.05292486
9,9,"11,29,30,33,34,35,41,48","29,18",-0.462154431,0.090869051
10,10,"10,23,28,29,34,37","25,18",0.788790633,-0.162938977
11,11,"4,24,29,35,40,41","16,29",0.249333564,0.239448801
12,12,"3,4,12,16,38,43","14,6",0.670481293,0.427548588
13,13,"4,8,16,17,25,40","10,7",0.449260945,-0.459008969
14,14,"3,11,19,31,34,48","1,39",1.127513872,-0.400804012
15,15,"11,23,29,34,45,48","1,18",0.647051751,1.358695965
16,16,"5,15,22,35,40,48","0,41",0.646745531,1.388979679
