cluster,organize,map,x,y
1,"7,17,29","6,9",-0.272769533,1.840112293
2,"21,22,30","49,31",1.142735709,0.61838384
3,"21,22,24","49,28",0.701035588,0.446909345
4,"31,34,37","43,36",0.847249931,-0.202563036
5,"3,19,30","42,21",1.303085638,-0.384852494
6,"3,6,19,47","40,42",0.596068741,-0.345682589
7,"19,33,47","37,42",1.707781568,0.622804662
8,"19,20,44","36,21",-0.280524377,1.600093731
9,"31,34,35","33,14",1.861886387,0.557103508
10,"3,5,47","27,28",-0.080171614,1.729597562
11,"3,5,41","27,21",1.451149538,1.930702035
12,"13,20,31,37","25,36",0.180697193,-0.173645392
