,cluster,person,organize,x,y
1,1,"14,25,29,42,45,49","49,10",1.516745202,1.383219903
2,2,"17,19,22,25,35,49","47,38",1.552631458,1.765391835
3,3,"2,11,14,23,29,39,49","44,30",-0.368385572,0.713546009
4,4,"0,11,14,25,29,49","44,10",0.827485972,1.713506814
5,5,"0,23,39,40,43,49","26,44",1.65699863,0.766217587
6,6,"2,6,17,27,29,47","19,30",0.666075751,1.772614354
7,7,"2,6,11,15,19,31,49","18,30",0.939643139,-0.255653887
8,8,"6,8,14,31,39,46","15,30",0.05129411,1.811156749
9,9,"0,6,8,16,31,46","15,29",1.547764063,0.089858993
10,10,"2,12,28,30,34,42","14,5",0.480354269,0.298746205
11,11,"0,2,6,12,19,28,30","14,18",1.133712832,-0.375017555
12,12,"1,18,25,27,34,38,42","11,4",1.33356632,1.423392485
13,13,"7,11,14,29,45,49","10,30",0.124533231,0.703459533
14,14,"0,7,21,38,45,49","1,10",1.282633873,-0.205601492
