,cluster,map,person,x,y
1,1,"12,22,26,32,37,41","9,45",1.645248713,-0.21250459
2,2,"0,12,14,22,26,27,33,37","9,25",0.436488898,0.103221857
3,3,"13,16,20,30,40,43","5,49",0.015562323,1.725394553
4,4,"3,6,10,13,30,44","48,5",1.374348822,1.419282978
5,5,"0,5,23,27,33,37","47,25",1.350519319,1.660632699
6,6,"4,5,20,27,28,35,41","46,40",0.293464112,0.607834027
7,7,"7,12,26,28,43,44","45,29",0.223716564,1.687935795
8,8,"20,27,33,35,47,48","44,49",1.145688716,0.390116586
9,9,"7,8,12,23,28,37,43","42,45",1.323670801,0.8598374
10,10,"3,7,9,12,15,28,43","42,29",0.792536987,0.320032034
11,11,"7,10,12,15,28,31","39,29",1.748894304,-0.279292977
12,12,"0,5,12,14,21,25,33","38,25",-0.154131325,1.536905157
13,13,"12,21,37,44,45,49","35,45",1.662058227,-0.101197733
14,14,"2,12,14,21,37,44","35,25",1.609085287,1.982003852
15,15,"3,12,14,17,21,24,37","35,2",-0.191685068,1.435176327
