cluster,organize,map,x,y
1,"9,19,43","9,38",0.827779621,0.117160641
2,"22,25,41","8,10",0.724683528,-0.051857125
3,"6,18,20","7,48",1.105759755,-0.46778899
4,"6,18,44","48,26",1.972146159,-0.200321366
5,"18,22,36","4,10",1.390327643,1.163890341
6,"7,23,32","35,17",1.936916587,-0.366973245
7,"1,7,44","35,10",1.886229123,1.342950559
8,"26,43,49","31,9",-0.466354104,0.52077243
9,"6,32,43","30,26",-0.14693135,0.79208571
10,"12,34,38","3,47",0.164758806,1.946139737
11,"18,41,44","26,10",0.561647502,-0.147515407
12,"26,27,39,47","19,25",-0.169462888,0.593818695
13,"1,18,36","14,10",1.031631833,1.210521923
