cluster,person,organize,x,y
1,"4,5,42","49,36",0.131172419,0.819037661
2,"5,25,31","49,16",0.412539658,1.025454928
3,"2,17,41","48,11",0.490695739,-0.312512523
4,"3,32,38","46,9",1.661036972,0.151723131
5,"7,38,46","46,35",0.438442167,1.942059838
6,"14,25,33","43,16",1.203858521,1.570793466
7,"0,10,34","42,24",1.227271106,-0.149720036
8,"14,32,44","40,9",1.085857883,1.240328464
9,"32,42,47","40,42",0.291107455,1.026877014
10,"9,35,49","37,27",-0.425916273,-0.167822455
11,"21,34,48","33,24",-0.130084114,-0.011753233
12,"13,22,25","32,16",0.814662045,1.547450668
13,"15,24,35","31,3",1.717026615,-0.190762703
14,"5,8,41","29,36",1.566793712,0.092173564
