cluster,organize,map,x,y
1,"10,32,34,37","9,13",0.986503827,0.43634367
2,"1,14,45","8,31",1.037322862,0.67102155
3,"1,14,28,48","49,31",-0.488125157,1.33751172
4,"5,28,45","39,24",1.186713265,1.312480089
5,"25,28,45","39,18",0.12189652,1.706206586
6,"17,28,48","34,31",0.508195167,1.428138158
7,"14,23,45","31,16",0.890448008,1.119168517
8,"3,6,38","30,4",0.803000419,1.856140929
9,"4,15,17","28,48",0.665007206,0.943760751
10,"0,5,32","27,19",-0.067907581,1.111722658
11,"11,38,47","26,16",0.862337376,-0.250359388
12,"1,14,41","25,8",1.605962432,0.045269268
13,"5,11,12","24,26",0.623360299,0.905646328
14,"8,14,21","21,37",0.647660844,-0.077204914
15,"1,16,22,38","20,48",1.374337878,-0.36913889
16,"5,32,34","19,9",0.813374375,1.095795899
17,"0,5,8,34","19,4",1.522818572,0.570748582
18,"4,18,42","15,48",0.770798672,0.708749875
