,cluster,map,person,x,y
1,1,"2,5,6,11,33,45,48","9,30",1.052853417,-0.397947396
2,2,"14,29,36,38,44,46","47,3",1.665313295,0.274612706
3,3,"25,27,34,36,40,47","45,24",0.953238551,1.690617861
4,4,"3,7,11,22,33,46","43,38",-0.04760363,0.809486359
5,5,"15,22,33,35,46,48","43,22",-0.379632279,-0.312444652
6,6,"7,11,33,35,43,46","43,18",0.362560638,0.73971511
7,7,"13,14,15,16,32,41","42,21",1.877547375,1.618573217
8,8,"13,16,24,35,39,41","42,19",0.721044944,1.575866441
9,9,"4,27,34,36,41,47","41,24",-0.061827877,-0.443645531
10,10,"1,10,21,33,39,49","40,34",0.607181814,1.489506323
11,11,"6,7,11,13,14,22,31","38,7",0.451199824,1.505431365
12,12,"6,15,20,23,33,46","37,22",0.063565381,1.461663722
13,13,"8,10,11,15,31,33,40","34,9",0.713899116,1.404893793
14,14,"11,16,33,38,39,49","34,30",0.655616923,1.632981347
