cluster,map,person,x,y
1,"20,22,48","8,39",0.382082891,-0.426827499
2,"2,14,31","48,45",1.252916478,1.608323545
3,"14,20,22","39,45",1.446860384,-0.332935781
4,"4,14,22","39,2",0.751213743,0.940834958
5,"9,15,23","37,40",0.145873598,-0.213112607
6,"34,46,49","35,27",-0.112460992,1.537205009
7,"2,14,21,27","31,48",-0.288966779,0.027596567
8,"4,18,20,22","27,39",-0.430145474,0.440282613
9,"4,22,49","27,2",-0.387112213,0.063332702
10,"21,27,31","26,48",0.733806369,-0.201010311
11,"19,20,25","22,41",-0.316952768,1.615512617
12,"2,19,34","20,31",-0.468643856,0.566686366
13,"1,14,22","2,45",1.594047736,0.731120282
