,cluster,organize,map,x,y
1,1,"21,30,37,42,46,48","9,40",0.730637001,-0.108066376
2,2,"8,19,31,43,45,47","8,42",0.937805077,0.456530113
3,3,"2,11,16,18,21,48","7,22",1.36065632,-0.166438581
4,4,"0,3,4,15,25,33","49,2",0.606123117,-0.367747786
5,5,"5,13,18,26,30,41","45,40",1.108404403,-0.194708825
6,6,"7,15,16,31,42,48","31,9",0.09709664,0.767107422
7,7,"3,4,17,24,25,28,31","30,4",0.235604601,0.527459976
8,8,"3,4,9,15,25,47","30,2",0.716438725,0.891565171
9,9,"0,18,26,27,37,46","28,40",0.462369779,0.701776235
10,10,"6,7,10,19,29,45","23,42",1.883871046,1.959406868
11,11,"6,8,11,14,34,43","18,42",1.315684563,-0.305015147
12,12,"5,8,16,19,43,45","12,8",1.775611385,-0.156828859
