,cluster,organize,map,x,y
1,1,"2,10,27,30,38,41","5,26",0.396623158,0.873967206
2,2,"4,5,7,9,14,39","48,39",1.713565986,1.526216138
3,3,"0,3,14,36,41,46","45,48",1.073061992,1.525822208
4,4,"6,13,14,23,31,33,44","42,39",-0.242589901,1.697758157
5,5,"4,12,13,20,24,33,44","39,41",1.369462595,1.964124232
6,6,"4,14,19,23,29,31","38,39",-0.035089883,1.993420792
7,7,"6,7,9,13,14,31","33,39",1.592806526,0.05156068
8,8,"2,8,19,20,24,42","28,17",1.83150056,0.533620691
9,9,"18,20,21,27,34,38,41","26,41",0.773922488,0.413212417
10,10,"0,9,21,35,46,48","25,48",1.463916226,1.900515656
11,11,"4,12,18,21,24,34,43","21,41",-0.379633638,1.855476507
12,12,"4,5,12,23,24,39","21,39",1.239748891,-0.031380652
13,13,"4,9,21,25,26,35","2,48",-0.004016605,1.133308845
14,14,"6,12,13,19,20,24","17,39",-0.375760175,-0.286144226
