cluster,organize,map,x,y
1,"9,23,38","8,19",1.237844025,1.40372631
2,"11,25,29","6,28",1.412163374,-0.453811542
3,"9,39,42","47,6",-0.25737067,0.722658866
4,"3,4,28","47,21",0.791383687,-0.466293401
5,"22,31,46","45,20",1.564560485,0.896764213
6,"4,17,28","3,21",-0.402492096,-0.03600357
7,"17,20,21,36","28,27",0.414987257,1.88781933
8,"28,40,44","21,24",0.177331423,0.501680279
9,"9,14,46","20,6",0.83814297,1.541750086
10,"9,14,21","20,27",0.227687867,1.870764005
11,"7,23,28","19,3",1.554421152,0.201675552
12,"14,33,45","14,32",0.284033322,-0.468004807
13,"5,14,18,40","10,34",1.178094882,0.697133572
14,"5,14,36","10,27",-0.026497444,-0.298477035
