cluster,organize,map,x,y
1,"9,28,35","49,44,20",0.558001186,1.275154524
2,"0,24,40","47,24",1.293166361,0.907843072
3,"0,7,24","47,10",1.575643618,0.573476126
4,"0,10,25","41,24",1.544853533,0.702128115
5,"3,14,39","4,45",0.175072734,1.76330882
6,"3,33,39","4,1",0.768638876,0.618074487
7,"0,20,28","38,41",1.691825398,1.345108013
8,"17,20,28","38,2",1.09875869,-0.475766104
9,"2,27,28","36,20",0.481034092,-0.278737396
10,"9,11,24","3,25",0.215624767,1.36506847
11,"0,11,24","3,24",0.66084264,1.838630975
12,"9,11,16","25,49,44",-0.052897084,1.962181316
13,"0,24,25","24,10",-0.412090144,0.593296501
14,"9,25,27","15,20",0.623910666,0.025132578
15,"20,25,29","13,41",-0.463725467,0.875014532
16,"7,19,45","1,10",1.160517423,0.034671651
