cluster,map,person,x,y
1,"10,20,35","9,45",1.385968523,0.783347306
2,"9,10,37","9,20",1.485907679,1.720496192
3,"17,26,34","48,46",0.68417332,1.464189495
4,"14,18,23","4,30",1.582763717,-0.292809298
5,"4,30,45","39,31",0.276147748,-0.473729505
6,"0,7,41","38,2",1.710137159,0.253965123
7,"19,25,30","36,6",1.393100851,-0.072603855
8,"23,37,41","30,2",0.771018316,0.828860731
9,"1,30,39","28,31",-0.081252039,-0.035242483
10,"30,35,45","25,31",0.791605256,0.26466863
11,"32,34,45","24,46",0.298313221,0.394930685
12,"7,30,39","22,31",0.967709925,0.679798916
13,"30,38,44","21,6",-0.017123695,-0.351258977
14,"30,37,39,44","21,20",1.999570178,1.408374851
15,"7,15,27","1,42",1.493854337,1.113932203
