,cluster,person,organize,x,y
1,1,"0,17,30,36,44,48","7,5",0.313546591,1.374027823
2,2,"5,9,17,41,43,44,46","7,31",1.328104179,-0.394987592
3,3,"5,9,12,17,30,46","7,30",0.644213547,0.876250306
4,4,"5,9,13,29,43,47","42,13",-0.051745608,1.583673217
5,5,"2,8,25,28,43,44","40,31",1.766951395,0.482995551
6,6,"8,17,28,31,44,49","4,31",0.09117154,-0.416972543
7,7,"14,22,25,29,35,42","37,13",0.244039048,1.224934691
8,8,"5,9,12,17,23,46","35,30",1.575446103,0.366418064
9,9,"4,7,8,16,18,30,34,40","34,43",0.276047589,1.869441048
10,10,"5,13,18,27,29,42,43","3,13",0.448715668,1.041852726
11,11,"3,9,17,25,39,46","24,31",1.013920136,1.491829493
12,12,"9,15,17,21,34,46","24,30",1.897101014,1.35732708
13,13,"2,3,15,23,24,36","20,5",0.371549373,-0.284629544
