,cluster,map,person,x,y
1,1,"5,10,18,24,27,40,45","49,14",0.229635309,1.165816934
2,2,"2,4,6,22,25,31,34","47,36",0.754566686,0.934913142
3,3,"8,9,10,20,24,33","45,16",-0.242671504,-0.023198851
4,4,"18,22,24,26,33,42","41,15",0.423425451,0.040754609
5,5,"4,8,29,31,33,40","4,46",0.570485238,0.625371874
6,6,"8,11,15,18,24,36","33,45",1.91302786,1.155462401
7,7,"12,15,19,25,35,44","32,0",1.686056503,0.125756228
8,8,"1,15,16,17,20,44","30,40",-0.017312406,0.868103475
9,9,"7,8,14,27,29,46","3,25",0.472467293,0.941674704
10,10,"3,8,19,24,39,46","26,16",1.692573254,-0.025203526
11,11,"6,14,16,17,34,44","20,40",0.691482393,-0.3207021
12,12,"3,5,7,10,25,33","2,16",1.682846357,1.277273678
13,13,"5,15,19,25,44,49","17,0",0.607642184,-0.289179079
14,14,"8,10,13,18,24,36,40","14,45",1.382547197,0.329896215
