cluster,map,person,x,y
1,"15,26,40","43,49",-0.341274873,0.721568806
2,"9,19,34","4,48",0.346244534,1.259952807
3,"30,38,42","39,5",0.561092208,0.299702516
4,"11,16,42","34,5",0.948190102,0.803466521
5,"37,40,48","33,49",1.967865042,0.475040361
6,"4,10,38","32,39",0.749801531,1.728987575
7,"16,17,30","31,5",0.008482757,1.102354389
8,"15,26,38,48","30,49",1.933240362,-0.002750874
9,"0,15,26","30,43",1.783219277,-0.09686235
10,"14,20,22","29,16",1.49388197,0.156639597
11,"11,30,44","22,5",-0.120097026,0.264904767
12,"20,44,47","11,16",0.972802852,-0.163667386
13,"4,30,41","0,39",-0.355862624,1.846105256
