,cluster,person,organize,x,y
1,1,"6,32,39,41,42,46","48,25",0.514458654,1.107985204
2,2,"1,12,17,19,28,35","47,42",1.313280214,-0.060474856
3,3,"1,8,10,12,19,28","47,31",1.54533329,0.030114125
4,4,"23,25,26,37,38,45","38,5",1.685203709,0.852084469
5,5,"17,23,24,38,45,47","38,18",-0.423220565,0.109614167
6,6,"13,23,27,29,33,36,42","37,27",0.036481323,-0.386692431
7,7,"13,25,27,29,31,33","37,10",1.036963648,0.055578627
8,8,"21,25,27,37,38,45","35,5",1.57841677,-0.319646035
9,9,"2,6,34,38,42,46","32,48",1.180233841,-0.417255812
10,10,"6,14,27,36,42,49","32,25,27",1.089571234,1.417962493
11,11,"2,29,31,32,40,45","21,10",0.292362635,1.007285753
12,12,"0,3,24,33,38,47","19,18",1.559222314,0.453787475
13,13,"0,3,17,35,36,47","18,42",1.722600237,1.0962739
14,14,"2,14,34,42,46,49","11,32",-0.283743002,-0.402256407
15,15,"1,14,32,42,46,49","11,25",0.876863754,1.906465506
