,cluster,map,person,x,y
1,1,"3,6,11,16,17,44,49","7,41",0.373750918,0.659995556
2,2,"0,6,14,17,43,44","7,34",0.254401153,1.005010282
3,3,"6,11,16,17,18,25","7,33",1.348156429,0.157950363
4,4,"11,12,23,25,30,35","47,35",1.36481154,0.482942662
5,5,"4,6,11,16,44,45","46,41",1.558149292,1.179665929
6,6,"11,12,16,17,30,49","41,3",1.979847032,-0.407696995
7,7,"11,12,21,23,31,39,49","38,3",1.574466621,0.892714386
8,8,"1,12,28,30,34,48","37,3",-0.021547855,0.907153434
9,9,"12,17,21,23,30,31","36,3",0.710694497,1.900641448
10,10,"11,16,27,35,42,45","35,46",0.853034919,0.643227916
11,11,"11,12,16,23,30,31","35,3",0.529992554,0.472038292
12,12,"6,19,27,43,44,48","29,34",0.049345666,-0.276203499
13,13,"1,16,23,31,39,43,47,48","27,3",1.918052934,1.525800114
14,14,"0,6,17,19,29,35,44","21,34",-0.033931968,1.843098029
15,15,"1,11,17,26,39,49","19,3",0.852689521,1.447659773
