cluster,person,organize,x,y
1,"0,15,21","6,33",1.176832294,0.053821092
2,"2,4,36","5,41",1.135862333,-0.405451102
3,"15,24,48","40,33",1.49607613,0.094016062
4,"0,6,19","39,6",0.039553551,0.60264462
5,"6,19,47","39,4",1.696323438,1.062621717
6,"5,6,13","37,45",1.263107603,0.66768819
7,"0,19,44","35,6",-0.29743839,0.214202052
8,"10,28,33","32,12",-0.017607698,1.442151952
9,"0,9,15","25,33",1.324039798,0.823950002
10,"9,24,33","24,29,33",0.79920756,0.407124075
11,"13,14,24","2,45",1.47204928,0.643569959
12,"0,32,45","19,0",0.277543431,-0.378001869
13,"12,20,49","15,25",1.312357764,1.670559597
