cluster,organize,map,x,y
1,"37,44,48","7,47",0.09857505,1.275310143
2,"6,18,44","7,40",1.379459282,1.519190034
3,"2,5,19,21","6,40",0.909774092,0.531430964
4,"2,5,11","6,13",-0.27948489,0.235526996
5,"9,19,44","5,47",-0.018995247,0.948835578
6,"0,9,44","49,47",1.708729451,-0.128888812
7,"0,5,44","49,40",0.830033827,1.090711664
8,"5,41,44","49,37",0.481789208,1.247875448
9,"0,5,41","49,12",1.976076832,1.436673529
10,"6,26,47","46,24",0.834375547,1.143944355
11,"0,19,44","40,47",0.271682499,1.731172271
12,"5,7,44","37,40",0.803215011,-0.340244478
13,"5,31,32","37,13",-0.150128532,-0.186087226
14,"4,19,44,48","35,47",1.471542964,1.76235705
