,cluster,person,organize,x,y
1,1,"1,12,20,32,44,48","5,19",1.426187076,0.131710436
2,2,"10,15,20,23,36,40","45,24",0.903489738,0.075100321
3,3,"4,16,19,21,42,49","44,46",0.075828088,1.998616111
4,4,"4,16,23,37,41,42","44,1",1.741538584,-0.105541528
5,5,"19,21,23,31,41,45","42,33",0.112449701,0.977105008
6,6,"3,5,9,12,20,32,48","40,19",1.838994331,0.336399813
7,7,"4,20,32,34,39,49","4,40",1.158234026,0.718342229
8,8,"3,21,36,42,47,48","36,46",1.447772319,1.215177063
9,9,"0,12,26,29,37,42","34,32",1.473209796,-0.367707484
10,10,"12,14,23,26,29,37,42","34,1",0.202919984,0.384246201
11,11,"10,12,26,35,42,46,48","32,46,19",-0.210556406,0.077398668
12,12,"2,4,7,8,13,21","3,6",1.087482532,0.886461122
13,13,"10,13,20,40,46,48","24,19",0.201933412,-0.088050193
14,14,"19,23,31,41,43,45","23,42",1.030522813,1.558249878
