cluster,organize,map,x,y
1,"1,38,43","7,39",0.788749633,-0.165542014
2,"6,45,49","48,5",1.072096946,-0.318456998
3,"1,4,33","42,39",0.181952795,-0.400698619
4,"20,25,46","4,36",1.326030795,0.239181422
5,"15,35,49","33,1",1.244588155,0.361194753
6,"1,4,31","32,39",1.974288693,0.32158769
7,"2,20,40","29,49",1.656883264,-0.137824564
8,"33,37,44","25,42",1.786549684,0.332878481
9,"0,6,32","23,5",1.182536977,1.257221508
10,"6,11,32","22,5",0.76899693,1.987142635
11,"11,16,32","22,49",0.423804575,0.688698819
12,"31,33,35,43","2,39",0.317631555,-0.345419523
13,"2,11,47","18,49",1.823223576,0.537021074
14,"20,24,25","15,36",0.276950212,0.977590988
15,"11,16,46","13,49",1.959627279,-0.010454189
