cluster,person,organize,x,y
1,"9,10,27","6,18",-0.094205635,-0.293212836
2,"0,10,26,28","5,37",0.946836239,0.365974754
3,"7,10,39","48,39",1.429399234,-0.256052319
4,"7,10,43","48,37",0.561244934,1.52847349
5,"10,35,41","48,26",-0.404253395,0.013638599
6,"35,38,39","48,1",1.049210826,0.757246902
7,"15,29,38","45,33",0.677174772,0.827120883
8,"1,8,43","43,13",1.192743007,0.413628127
9,"4,23,26","42,37",0.031001722,-0.422223727
10,"0,26,43","37,13",1.102902714,-0.145110708
11,"14,24,43","36,25",0.498550007,1.571322339
12,"4,7,43","32,37",-0.425129553,0.912265471
13,"0,8,14,43","25,13",0.992287993,-0.470856811
