cluster,map,person,x,y
1,"1,8,30","8,3",-0.406356755,1.636867344
2,"9,19,26,40","5,43",0.105640633,1.80659157
3,"19,40,48","5,15",-0.292935845,-0.231185387
4,"17,40,43","47,36",0.194009246,-0.137582476
5,"19,23,40","43,15",-0.054885589,1.076958623
6,"20,23,26","39,43",0.647275337,-0.164360253
7,"5,46,49","38,26",1.335845296,-0.329108541
8,"12,23,48","37,15",0.617486351,1.40676345
9,"9,17,43","36,4",-0.284826129,0.152956957
10,"11,40,48","33,5",-0.115515422,0.856210095
11,"1,5,22","28,3",1.291856811,1.854753768
12,"19,22,48","28,15",1.365732469,1.613580616
13,"9,26,48","23,5",1.843397841,0.369695444
14,"33,42,45","21,13",0.28375233,1.485810509
15,"0,9,17","17,36",1.761095833,0.725194685
16,"0,1,44","16,8",0.472479014,0.966650154
17,"5,42,48","13,28",0.265975966,-0.455713598
