cluster,person,organize,x,y
1,"16,32,42","9,36",0.626898452,0.327948895
2,"7,31,42","9,22",0.748259647,0.02282554
3,"17,41,43","49,43",0.982893345,-0.106112077
4,"16,29,39","49,36",0.249936161,1.775433057
5,"15,32,42","48,9",-0.474133314,-0.052751511
6,"3,39,42","44,36",1.780116207,1.864477093
7,"0,3,39","44,28",0.889152586,0.938729823
8,"1,4,24","42,29",1.698555788,1.678447717
9,"10,13,21","39,16",1.040197041,1.213801898
10,"0,6,42","35,22",1.416114337,1.000985646
11,"3,28,46","34,36",-0.012096994,-0.402717324
12,"17,29,37","31,49",1.647486398,1.795330395
13,"13,32,38","3,23",0.060305853,0.445310181
14,"4,40,42","29,16",1.985391404,1.241385649
15,"3,16,39","28,36",0.620033141,0.537681314
