cluster,person,organize,x,y
1,"0,7,9","7,1",0.217220473,1.591771724
2,"0,20,33","44,47",1.278084567,0.285899411
3,"0,7,33","44,1",1.468420516,-0.343444348
4,"17,33,35","41,48",0.618535249,0.338463161
5,"17,21,35","41,21",1.434388337,1.304055881
6,"7,12,44","35,25",1.827013679,0.616457571
7,"20,30,33","33,47",1.31523838,0.418932087
8,"15,22,41,42,43","23,47",0.33006665,0.36306242
9,"17,22,40","21,23",0.728719009,-0.037913858
10,"6,7,38","2,26",1.36885196,0.288310023
11,"22,30,42","12,47",1.428366026,0.488085623
12,"13,22,26","10,47",0.922750803,1.633341471
13,"0,33,42","1,47",1.40809984,0.454695377
