,cluster,person,organize,x,y
1,1,"3,10,12,14,19,26,29","8,38",1.999555592,-0.080692658
2,2,"3,17,19,29,34,41","8,15",1.372409932,1.254928823
3,3,"1,3,22,23,37,49","45,9",1.972870619,1.235114417
4,4,"14,22,23,37,39,49","45,16",0.585308042,-0.054934329
5,5,"0,4,13,14,24,34,45","40,7",0.642312766,0.585641177
6,6,"12,16,19,21,29,31,32","38,23",-0.27778095,0.983381998
7,7,"11,23,29,32,39,42","35,16",-0.434568883,1.911831244
8,8,"9,20,23,29,31,32","35,11",1.184484614,1.239727776
9,9,"1,4,19,23,34,35","33,15",-0.083848641,-0.341656247
10,10,"4,5,6,19,21,44","31,23",0.02327909,-0.046414796
11,11,"12,16,19,32,36,43","28,23",0.468298613,0.139289943
12,12,"0,1,9,29,31,32,49","26,11",1.473959033,-0.419353076
13,13,"0,10,20,23,29,49","20,11",0.927834587,-0.059243313
14,14,"11,22,23,36,37,49","16,9",0.337661367,-0.235912669
