cluster,person,organize,x,y
1,"1,20,29","8,38",-0.128706688,1.754732618
2,"5,6,10","42,3",0.423436447,0.725507693
3,"12,14,42","39,16",0.322588539,1.345451471
4,"18,28,49","38,29",1.981015215,1.742993687
5,"9,21,41,46","37,41",0.474580665,-0.037831961
6,"36,40,49","35,25",1.081927119,0.727334777
7,"2,8,14,35","34,16",0.994542763,0.315978387
8,"3,9,14","33,41",0.738046384,0.661197651
9,"18,35,41","32,29",0.018072874,1.189077828
10,"35,37,41","31,32",1.446132768,1.614537142
11,"7,28,41","29,41",0.912874185,1.544422311
12,"7,44,47","0,29",-0.425744354,0.258220296
13,"3,7,34","13,41",0.082616507,1.542482376
14,"31,36,49","13,25",1.327873698,0.562287069
15,"2,31,40","12,25",0.64842091,1.670226825
16,"7,34,41,45","11,41",1.978185306,0.61078234
