cluster,person,organize,x,y
1,"36,47","35,38,40",0.33724393,-0.429378079
2,"36,42","6,19,38",0.219109107,0.033584931
3,"10,7","3,9,20",-0.131071331,1.991075948
4,"16,11","2,9",1.006575208,1.849318373
5,"9,42","13,19,33,43",1.586761461,1.625304177
6,"19,36","19,35,39",0.915522696,-0.380781721
7,"18,42","6,42",0.737157141,0.130076393
8,"18,33","3,6,17",1.276932005,1.050143734
9,"48,36","19,38,39",0.551022008,1.762066806
10,"23,42","13,24,43",-0.451304756,1.4074183
11,"38,40","6,36,37",1.007906101,1.654727806
12,"45,11","33,37",0.137241691,0.732492234
13,"32,47","0,13,14,38,40",1.624172239,1.119264706
