location,label,lat,lng
2932 University Drive,Finland,61.92411,25.748151
Afghanistan,Kalimantan Utara,3.0730929,116.0413889
Alder St,El Bayadh,32.7148824,0.9056623
Amsterdam,Sosnovka,48.3383,135.0752
Atlanta,Buyende District,1.2413682,33.1239049
Boston,Stukovo,53.2128,83.3378
Bowling Green,Yuryevets,57.3167,43.1
Bremerhaven,Stroitel,50.7833,36.4833
Bronx,Beya,53.0458,90.9414
Buenos Aires,Libero consorzio comunale di Enna,37.5676216,14.2795349
Cairo,Southwest,36.1908813,-95.8897448
California,Kyren,51.6783,102.1361
Camp George West Military Reservation,Palau,7.51498,134.58252
Canada,Vilyuchinsk,52.9333,158.4
Capitol Ave.,Koh Kong Province,11.5762804,103.3587288
Charlottesville,KushnarÃ«nkovo,55.1049,55.3479
Chicago,Kankan Prefecture,10.3034465,-9.3673084
City Park,DibÃ«r District,41.5888163,20.2355647
Coal Mine Road,Al Qadarif,14.024307,35.3685679
Colfax Avenue,Monchegorsk,67.9394,32.9156
Colorado,Novomikhaylovskoye,45.7158,41.4561
Columbus,Zamfara,12.1221805,6.2235819
Cuba,Pleven Province,43.4170169,24.6066708
Culver City,Porto Novo,6.4968574,2.6288523
Denver,Serravalle,44.7232084,8.8574005
Detroit,Ivanovka,54.4575,48.8731
Dulles Airport,Lebanon,33.854721,35.862285
Egypt,Sofala Province,-19.2039073,34.8624166
El Paso,BÃ©kÃ©s County,46.6704899,21.0434996
El Segundo,Brokopondo District,4.7710247,-55.0493375
Europe,Lofa County,8.1911184,-9.7232673
Floyd Ave.,Drochia District,48.0797788,27.8604114
France,Belomorsk,64.5167,34.7667
Georgia,Talashkino,54.6561,32.1853
Germany,Proletarsk,46.7031,41.7192
Green Bay,Sumatera Selatan,-3.3194374,103.914399
Greenlawn Ave.,Debesy,57.65,53.8167
Guantanamo,Mayskoye,52.2725,50.0339
Haarlem,Canton of Grevenmacher,49.680841,6.4407593
Hamburg,In Salah,27.2149229,1.8484396
Hezboliah,Bermuda,32.321384,-64.75737
Houston,Horjul Municipality,46.0225378,14.2986269
Howell St.,Qom Province,34.6415764,50.8746035
Hubbard St.,Hawke's Bay Region,-39.6016597,176.5804473
Hudspeth County,Makira-Ulawa Province,-10.5737447,161.8096941
Illinois,Yaroslavl Oblast,57.8991523,38.8388633
Imperial Highway,Ashgabat,37.9600766,58.3260629
Kandahar,Chekhov,55.1481,37.4769
Kentucky,Batlaich,42.5545,46.7537
Keswick,Nord-Ubangi,3.7878726,21.4752851
Laurel Avenue,Bueng Kan,18.3609104,103.6464463
LAX,Sri Lanka,7.873054,80.771797
Lee Highway,Bumthang District,27.641839,90.6773046
Little York Rd.,Meneng District,-0.546724,166.938379
London,Golotl,42.4889,46.7361
Los Angeles,Thyolo District,-16.1299177,35.1268781
Lublin,Salavat,53.3667,55.9333
Manhattan,Haute-Kotto Prefecture,7.7964379,23.3823545
Marshall Avenue,BazÃ¨ga Province,11.9767692,-1.443469
McNary,Krasnodar,45.0333,38.9833
McRae Blvd,Novoselitskoye,44.7508,43.4369
Merrifield,Mariinsk,56.2167,87.75
Miami,Huanuco,-9.9207648,-76.2410843
Michigan,Espaillat Province,19.6277658,-70.2786775
Minneapolis,Salekhard,66.5333,66.6333
Minnesota,Saint Thomas Middle Island Parish,17.3348813,-62.8088251
Myrtle Ave,Delta Amacuro,8.8499307,-61.1403196
New Jersey,Addis Ababa,8.9806034,38.7577605
New Orleans,Kalangala District,-0.6350578,32.5372741
New York,Northern Red Sea Region,16.2583997,38.8205454
New York City,Äakovica District (Gjakove),42.4375756,20.3785438
North Bergen,Neath Port Talbot County Borough,51.5978519,-3.7839668
O'Hare,Irbit,57.6667,63.0667
Paddington,Saint Louis,38.6270025,-90.1994042
Paris,North Andros,24.7063805,-78.0195387
Poland,Destrnik Municipality,46.4922368,15.8777956
Queens,Alytus County,54.2000214,24.1512634
Rhinelander Platz.,Grande Comore,-11.7167338,43.3680788
Richmond,Khulna Division,22.8087816,89.2467191
Rio Grande,South Pyongan Province,39.3539178,126.168271
Rue St. Sebastien,MÃ©tropole de Lyon,45.7482629,4.5958404
San Gabriel,Kalininskaya,45.4844,38.6622
Seattle,Sosenskiy,54.05,35.9667
Sheldon St.,Sud-ComoÃ©,5.552793,-3.2583626
