location,label,lat,lng
2932 University Drive,Hajjah Governorate,16.1180631,43.329466
Afghanistan,Hodh El Gharbi Region,16.6912149,-9.5450974
Alder St,Teykovo,56.85,40.55
Amsterdam,Ngozi Province,-2.8958243,29.8815203
Atlanta,Nan,45.522208,-122.9863281
Boston,Kindia Prefecture,10.1013292,-12.7135121
Bowling Green,Barguna District,22.0952915,90.1120696
Bremerhaven,Norfolk Island,-29.040835,167.954712
Bronx,Mayrtup,43.2036,46.1322
Buenos Aires,Posavina Canton,45.0752094,18.3776304
Cairo,Saint Thomas Middle Island Parish,17.3348813,-62.8088251
California,Lanao del Sur,7.823176,124.4198243
Camp George West Military Reservation,Yuldybayevo,52.3414,57.8767
Canada,OgoouÃ©-Lolo Province,-0.8844093,12.4380581
Capitol Ave.,Okhansk,57.7167,55.3833
Charlottesville,Ehime Prefecture,33.6025306,132.7857583
Chicago,Virginia,37.431573,-78.656894
City Park,"Nord Region, Burkina Faso",13.718252,-2.302446
Coal Mine Road,Zawiya District,32.7630282,12.7364962
Colfax Avenue,Inverclyde,55.9316569,-4.6800158
Colorado,Mtarfa,35.8895125,14.3951953
Columbus,Mechi Zone,26.8760007,87.9334803
Cuba,Kurgan,55.4408,65.3411
Culver City,Mukdahan,16.5435914,104.7024121
Denver,Arusha,-3.3869254,36.6829927
Detroit,Jutiapa Department,14.1930802,-89.9253233
Dulles Airport,Mongolia,46.862496,103.846656
Egypt,Khatlon Province,37.9113562,69.097023
El Paso,Rennell and Bellona Province,-11.6131435,160.1693949
El Segundo,Lesosibirsk,58.2333,92.4833
Europe,Kambarka,56.2667,54.2
Floyd Ave.,Govi-Altai Province,45.4511227,95.8505766
France,TurniÅ¡Äe Municipality,46.6137504,16.32021
Georgia,Omsukchan,62.5333,155.8
Germany,KorÃ§Ã« District,40.590567,20.6168921
Green Bay,Valandovo Municipality,41.3211909,22.5006693
Greenlawn Ave.,Kizilskoye,52.725,58.8917
Guantanamo,Dobrepolje Municipality,45.8524951,14.7083109
Haarlem,KÃ©rouanÃ© Prefecture,9.2536643,-9.0128926
Hamburg,Eastern Province,23.1669688,49.3653149
Hezboliah,Ertil,51.8333,40.8
Houston,Ptichnik,48.7462,132.9543
Howell St.,Al-QÄdisiyyah Governorate,32.043691,45.1494505
Hubbard St.,SzekszÃ¡rd,46.3474326,18.7062293
Hudspeth County,Abyan Governorate,13.6343413,46.0563212
Illinois,Vitanje Municipality,46.3815323,15.2950687
Imperial Highway,Kepulauan Riau,3.9456514,108.1428669
Kandahar,London Borough of Lewisham,51.4414579,-0.0117006
Kentucky,DelvinÃ« District,39.9481364,20.0955891
Keswick,Kola,68.8831,33.0219
Laurel Avenue,PrÃ­ncipe Province,1.6139381,7.4056928
LAX,Divnogorsk,55.95,92.3833
Lee Highway,Anse Royale,-4.7407988,55.5081012
Little York Rd.,Kostromskoye,47.3131,142.0233
London,Casablanca,33.5722678,-7.6570326
Los Angeles,Ilâ€™inskoye,56.9236,28.525
Lublin,MÄ“rsrags Municipality,57.3306881,23.1023707
Manhattan,Carabobo,10.1176433,-68.0477509
Marshall Avenue,Cebu,10.3156992,123.8854366
McNary,Agapovka,53.2942,59.1344
McRae Blvd,MÃ¸re og Romsdal,62.8406833,7.007143
Merrifield,Alkhan-Kala,43.2586,45.5392
Miami,KwaZulu-Natal,-28.5305539,30.8958242
Michigan,Inezgane-Ait Melloul,30.3509098,-9.389511
Minneapolis,JÄ“kabpils Municipality,56.291932,25.9812017
Minnesota,Micoud Quarter,13.8211871,-60.9001934
Myrtle Ave,Kiryandongo District,2.0179907,32.0837445
New Jersey,Manus Province,-2.0941169,146.8760951
New Orleans,Bolshesidorovskoye,45.0316,39.8388
New York,Tororo District,0.6870994,34.0641419
New York City,Toropets,56.5,31.6333
North Bergen,Cox's Bazar District,21.5640626,92.0282129
O'Hare,Dorset,50.7487635,-2.3444786
Paddington,Gulli,42.2333,47.7667
Paris,Quezon,14.0313906,122.1130909
Poland,Bryukhovetskaya,45.806,38.9996
Queens,Bitola Municipality,41.0363302,21.3321974
Rhinelander Platz.,Arunachal Pradesh,28.2179994,94.7277528
Richmond,Okha,53.5833,142.9333
Rio Grande,Vosges,48.1630173,5.73556
Rue St. Sebastien,Palanga City Municipality,55.920198,21.0677614
San Gabriel,Upper Austria,48.025854,13.9723665
Seattle,Tunis Governorate,36.8374946,10.1927389
Sheldon St.,Tarasovskiy,48.7273,40.3627
Springfield,Province of Sassari,40.7967907,8.5750407
Springfield Mall,Wong Tai Sin,22.33353,114.19686
Springfield VA,SÃ£o Paulo,-23.5505199,-46.6333094
St. Mary 's Terrace,Daegu,35.8714354,128.601445
St. Mary's Road,Cojedes,9.3816682,-68.3339275
Sudan,Phetchaburi,12.9649215,99.6425883
Texas,Aksaray,38.3352043,33.9750018
The Netherlands,New Zealand,-40.900557,174.885971
Trenton,Petrovskoye,56.2556,36.4694
Trenton Avenue,Los RÃ­os,-1.0230607,-79.4608897
United Arab Emirates,Moselle,49.0204566,6.2055322
University Drive,Alto Paraguay Department,-20.0852508,-59.4720904
US,Yelizavetinskoye,45.0081,43.3519
Van Dyke Avenue,Solothurn,47.3320717,7.6388385
Virginia,Portland Parish,18.0844274,-76.4100267
Wash. DC,Newfoundland and Labrador,53.1355091,-57.6604364
Washington,Ishim,56.1167,69.5
