location,label,lat,lng
2932 University Drive,Mozhayka,52.4119,110.7853
Afghanistan,Uray,60.1333,64.7833
Alder St,Luxembourg,49.815273,6.129583
Amsterdam,Kyiv Oblast,50.0529506,30.7667134
Atlanta,Krasnyy Yar,57.1275,84.5303
Boston,Navoloki,57.4667,41.9667
Bowling Green,Tashkent Region,41.2213234,69.8597406
Bremerhaven,Missouri,37.9642529,-91.8318334
Bronx,Yartsevo,55.0667,32.6833
Buenos Aires,County Carlow,52.7232217,-6.8108295
Cairo,Aude,43.054114,1.9038476
California,Nenets Autonomous Okrug,67.6078337,57.6338331
Camp George West Military Reservation,Limburg,51.4427238,6.0608726
Canada,Moyen-ComoÃ©,6.6514917,-3.5003454
Capitol Ave.,Klaipeda City Municipality,55.7032948,21.1442795
Charlottesville,OrmoÅ¾ Municipality,46.4353333,16.154374
Chicago,Kakumiro District,0.7808035,31.3241389
City Park,Chernogolovka,56.0147,38.3897
Coal Mine Road,China,35.86166,104.195397
Colfax Avenue,Shali,43.15,45.9
Colorado,Senegal,14.497401,-14.452362
Columbus,Province of Rieti,42.3674405,12.8975098
Cuba,Centre,32.8370251,-96.7773882
Culver City,Thyolo District,-16.1299177,35.1268781
Denver,La Libertad Department,13.6817661,-89.3606298
Detroit,Dornogovi Province,43.9653889,109.1773459
Dulles Airport,Perak,4.5921126,101.090109
Egypt,Middlesbrough,54.574227,-1.234956
El Paso,Mbeya,-8.2866112,32.8132537
El Segundo,Pykhovka,51.0194,41.5042
Europe,Matagalpa,12.9498436,-85.4375574
Floyd Ave.,Iyulâ€™skoye,56.919,53.6065
France,Bretagne,48.2020471,-2.9326435
Georgia,Pesaro and Urbino Province,43.6130118,12.7135121
Germany,Manchester,53.4807593,-2.2426305
Green Bay,Elektrogorsk,55.8833,38.7833
Greenlawn Ave.,Jablonec nad Nisou,50.7220528,15.1703135
Guantanamo,Marrakesh-Safi,31.7330833,-8.1338558
Haarlem,Krabi,8.0862997,98.9062835
Hamburg,Suyerskoye,56.254,66.03
Hezboliah,ZreÄe Municipality,46.4177786,15.3709431
Houston,Province of Treviso,45.6668517,12.2430617
Howell St.,Rewa,34.7923517,-82.3609264
Hubbard St.,Fife,56.2082078,-3.1495175
Hudspeth County,Olginka,44.1972,38.8861
Illinois,Cluj County,46.7941797,23.6121492
Imperial Highway,London Borough of Tower Hamlets,51.5202607,-0.0293396
Kandahar,Cox's Bazar District,21.5640626,92.0282129
Kentucky,Salto Department,-31.388028,-57.9612455
Keswick,Baie Lazare,-4.7482525,55.4859363
Laurel Avenue,Yarag-Kazmalyar,41.6497,48.3858
LAX,Lac Region,13.6915377,14.1001326
Lee Highway,Taranaki Region,-39.3538149,174.4382721
Little York Rd.,Ghat District,24.9640371,10.1759285
London,Cagayan Valley,16.9753758,121.8107079
Los Angeles,HodonÃ­n,48.8529391,17.1260025
Lublin,Gbarpolu County,7.4952637,-10.0807298
Manhattan,Khagrachari District,23.1321751,91.949021
Marshall Avenue,Staraya Poltavka,50.4786,46.4822
McNary,Tamanghasset,22.7902972,5.5193268
McRae Blvd,South BaÄka District,45.4890344,19.6976187
Merrifield,PÃ«rmet District,40.2361837,20.3517334
Miami,Saint Joseph,39.7674578,-94.846681
Michigan,Kakhib,42.4292,46.5987
Minneapolis,Petrozavodsk,61.7833,34.35
Minnesota,BreÅ¾ice Municipality,45.9041096,15.5943639
Myrtle Ave,Domagnano,43.9501929,12.4681537
New Jersey,Kargasok,59.0578,80.8711
New Orleans,Pshicho,45.0618,40.1764
New York,Poim,53.0264,43.1872
New York City,Marowijne District,5.6268128,-54.2593118
North Bergen,Asenâ€™yevskoye,55.1229,36.3045
O'Hare,Nevel,56.0167,29.9333
Paddington,Kara Region,9.7216393,1.0586135
Paris,Gamprin,47.213249,9.5025195
Poland,Tamil Nadu,11.1271225,78.6568942
Queens,Guarda,40.5385972,-7.2675772
Rhinelander Platz.,Nurlat,54.4333,50.8
Richmond,Asha,55,57.25
Rio Grande,Pembroke,34.6801626,-79.1950373
Rue St. Sebastien,Phra Nakhon Si Ayutthaya,14.3692325,100.5876634
San Gabriel,Bolama Region,11.1480591,-16.1345705
Seattle,Micoud Quarter,13.8211871,-60.9001934
Sheldon St.,Teplovka,52.0692,46.1304
Springfield,Al Haouz,31.2956729,-7.87216
Springfield Mall,Samukh District,40.7604631,46.4063181
Springfield VA,London Borough of Waltham Forest,51.5886383,-0.0117625
St. Mary 's Terrace,Å entrupert Municipality,45.9873142,15.0829783
St. Mary's Road,Verkhniye Tatyshly,56.2903,55.8539
Sudan,BraslovÄe Municipality,46.2836192,15.041832
Texas,Long An,10.5607168,106.6497623
The Netherlands,SemiÄ Municipality,45.6520534,15.1820701
Trenton,Yuzhno-Sukhokumsk,44.6667,45.65
Trenton Avenue,Odesskoye,54.1861,73.05
United Arab Emirates,Province of Mantua,45.1667728,10.7753613
University Drive,Nyutyug,41.7524,48.1174
US,Bagdarin,54.4444,113.5872
Van Dyke Avenue,Ishikawa Prefecture,36.3260317,136.5289653
Virginia,AÃ§ores,37.7412488,-25.6755944
Wash. DC,Equatorial Guinea,1.650801,10.267895
Washington,Jessore District,23.1634014,89.2181664
Washington DC,Tennessee,35.517491,-86.580447
Webster Ave.,Bakal,54.9333,58.8
Wisconsin,Vuzenica Municipality,46.5980836,15.1657237
2932 University Drive,Oise,49.4117335,1.8668825
Afghanistan,Shum,59.8722,31.7819
Alder St,Yilan,24.7021073,121.7377502
Amsterdam,Kortkeros,61.8106,51.5806
Atlanta,Kandy District,7.2931588,80.6350107
Boston,Heredia Province,10.473523,-84.0167423
Bowling Green,Skikda,36.6721198,6.8350999
Bremerhaven,BolÃ­var,37.6144838,-93.4104749
Bronx,Nakhon Sawan,15.6987382,100.11996
Buenos Aires,Siliana Governorate,36.0887208,9.3645335
Cairo,Sovetsk,57.6013,48.9386
California,Vojvodina,45.2608651,19.8319338
Camp George West Military Reservation,Lombardy,45.4790671,9.8452433
Canada,Quáº£ng BÃ¬nh,17.6102715,106.3487474
Capitol Ave.,GÄ§asri,36.0668075,14.2192475
Charlottesville,Komsomolâ€™sk-na-Amure,50.55,137
Chicago,Gironde,44.8958469,-1.5940532
City Park,Ratak Chain,10.2763276,170.5500937
Coal Mine Road,Dolgoderevenskoye,55.3444,61.3422
Colfax Avenue,Bushenyi District,-0.4870918,30.2051096
Colorado,Lugovoye,54.2167,48.25
Columbus,Smolyan Province,41.5774148,24.7010871
Cuba,Kopeysk,55.1,61.6167
Culver City,Vaavu Atoll,3.3955438,73.5122928
Denver,Atlantique Department,6.6588391,2.2236667
Detroit,Nasarawa,8.4997908,8.1996937
Dulles Airport,Leninsk,48.7,45.2
Egypt,Kudeyevskiy,54.8778,56.7644
El Paso,HoÄeâ€“Slivnica Municipality,46.477858,15.6476005
El Segundo,Trudfront,45.9346,47.6693
Europe,New York,43.299428,-74.217933
Floyd Ave.,Selikhino,50.3689,137.5044
France,Bengo Province,-9.1042257,13.7289167
Georgia,Gorgol Region,15.9717357,-12.6216211
Germany,Chrudim,49.8830216,15.8290866
Green Bay,Floriana,45.4952185,-73.7139576
Greenlawn Ave.,Central River Division,13.5994469,-14.8921668
Guantanamo,Krasnoarmeyskoye,43.6372,44.1244
Haarlem,Jutiapa Department,14.1930802,-89.9253233
Hamburg,Petushki,55.9333,39.4667
Hezboliah,Jamalpur District,25.0830926,89.7853218
Houston,Mississippi,32.354668,-89.398528
Howell St.,Nayala Province,12.6964558,-3.0175712
Lublin,Khotoch,42.4057,46.9566
Manhattan,BartÄ±n,41.5810509,32.4609794
Hezboliah,Saint John Capisterre Parish,17.3810341,-62.7911833
