location,label,lat,lng
2932 University Drive,Tivat Municipality,42.42348,18.7185184
Afghanistan,Aragua,10.0635758,-67.2847875
Alder St,Banjul,13.4548761,-16.5790323
Amsterdam,Qala,36.0388628,14.318101
Atlanta,Tiaret,35.3708689,1.3217852
Boston,Kadavu,-19.0127122,178.1876676
Bowling Green,Zacatecas,22.7708555,-102.5832426
Bremerhaven,BuzÄƒu County,45.3350912,26.7107578
Bronx,Soria Province,41.7665464,-2.4790306
Buenos Aires,Northern,38.063817,-84.4628648
Cairo,La Rioja,-29.4193793,-66.8559932
California,MengeÅ¡ Municipality,46.1659122,14.5719694
Camp George West Military Reservation,Eastern Samar,11.5000731,125.4999908
Canada,Å½etale Municipality,46.2742833,15.7913359
Capitol Ave.,Astrakhan Oblast,46.1321166,48.0610115
Charlottesville,Odessa Oblast,46.484583,30.7326
Chicago,Velika Polana Municipality,46.5731715,16.3444126
City Park,Jelgava,56.6511091,23.7213541
Coal Mine Road,Andorra la Vella,42.5063174,1.5218355
Colfax Avenue,SkÃ¥ne County,55.9902572,13.5957692
Colorado,Sennar,13.567469,33.5672045
Columbus,Koundara Prefecture,12.4894021,-13.3067562
Cuba,Martinique,14.641528,-61.024174
Culver City,Bolama Region,11.1480591,-16.1345705
Denver,LibereckÃ½ kraj,50.659424,14.7632424
Detroit,Iran,32.427908,53.688046
Dulles Airport,Most,37.1554083,-94.2948884
Egypt,Constantine,36.3373911,6.663812
El Paso,Karbinci,41.8180159,22.2324758
El Segundo,Chuadanga District,23.6160512,88.8263006
Europe,RadeÄe Municipality,46.0666954,15.1820438
Floyd Ave.,Chumphon,10.4930496,99.1800199
France,Nevada,38.8026097,-116.419389
Georgia,Akwa Ibom,4.9057371,7.8536675
Germany,PrÃ­ncipe Province,1.6139381,7.4056928
Green Bay,Sweden,60.128161,18.643501
Greenlawn Ave.,Baldone Municipality,56.74246,24.3911544
Guantanamo,Canton of Echternach,49.8114133,6.4175635
Haarlem,NÄ«ca Municipality,56.3464983,21.065493
Hamburg,Triesenberg,47.1224511,9.5701985
Hezboliah,Puerto Plata Province,19.7543225,-70.8332847
Houston,Kermanshah Province,34.4576233,46.670534
Howell St.,Kilifi,-3.5106508,39.9093269
Hubbard St.,Bunyangabu District,0.4870918,30.2051096
Hudspeth County,Tambacounda Region,13.5619011,-13.1740348
Illinois,Lubusz Voivodeship,52.2274612,15.2559103
Imperial Highway,Southampton Parish,32.2540095,-64.8259058
Kandahar,Macuata,-16.4864922,179.2847251
Kentucky,Mongala,1.9962324,21.4752851
Keswick,Oudomxay Province,20.4921929,101.8891721
Laurel Avenue,Bern,46.7988621,7.7080701
LAX,Sveti TomaÅ¾ Municipality,46.4835283,16.079442
Lee Highway,Illinois,40.633125,-89.398528
Little York Rd.,PoljÄane Municipality,46.3139853,15.5784791
London,Prachatice,49.01091,14.0000005
Los Angeles,Nyanga Province,-2.8821033,11.1617356
Lublin,LubÄna Municipality,56.8999269,26.7198789
Manhattan,Mangrove Cay,24.1481425,-77.7680952
Marshall Avenue,GuairÃ¡ Department,-25.8810932,-56.2929381
McNary,Loei,17.4860232,101.7223002
McRae Blvd,Huehuetenango Department,15.5879914,-91.6760691
Merrifield,Ash Sharqiyah Region,22.7141196,58.5308064
Miami,Nana-MambÃ©rÃ© Prefecture,5.6932135,15.2194808
Michigan,Thessaloniki Regional Unit,40.6400629,22.9444191
Minneapolis,Sinoe County,5.49871,-8.6600586
Minnesota,Serres Prefecture,41.0863854,23.5483819
Myrtle Ave,Zangilan District,39.0856899,46.6524728
New Jersey,Dakhlet Nouadhibou,20.5985588,-16.2522143
New Orleans,Magadan Oblast,62.6643417,153.914991
New York,Ohangwena Region,-17.5979291,16.8178377
New York City,Ngatpang,7.4710994,134.5266466
North Bergen,Tombali Region,11.3632696,-14.9856176
O'Hare,Province of Reggio Emilia,44.585658,10.5564736
Paddington,Santiago de Cuba Province,20.2397682,-75.9927652
Paris,West Greece Region,38.5115496,21.5706786
Poland,Mamou Prefecture,10.5736024,-11.8891721
Queens,CÄƒlÄƒraÈ™i County,44.3658715,26.7548607
Rhinelander Platz.,Dhamar Governorate,14.7195344,44.2479015
Richmond,Falkirk,56.0018775,-3.7839131
Rio Grande,Province of Oristano,40.0599068,8.7481167
Rue St. Sebastien,Syunik Province,39.5133112,46.3393234
San Gabriel,Chuuk State,7.1386759,151.5593065
Seattle,KÃ©rouanÃ© Prefecture,9.2536643,-9.0128926
Sheldon St.,DKI Jakarta,-6.2087634,106.845599
Springfield,Erongo Region,-22.2565682,15.4068079
Springfield Mall,Northwestern Province,-13.0050258,24.9042208
Springfield VA,Florida,27.664827,-81.515754
St. Mary 's Terrace,Saga Prefecture,33.3078371,130.2271243
St. Mary's Road,BraÈ™ov County,45.7781844,25.22258
Sudan,Äáº¯k NÃ´ng,12.2646476,107.609806
Texas,Santa Rosa Department,38.4405759,-122.7037543
The Netherlands,SzÃ©kesfehÃ©rvÃ¡r,47.1860262,18.4221358
Trenton,Ariana Governorate,36.9922751,10.1255164
Trenton Avenue,United States,37.09024,-95.712891
United Arab Emirates,Tomsk Oblast,58.8969882,82.67655
University Drive,Anambra,6.2208997,6.9369559
US,Tartar District,40.3443875,46.9376519
Van Dyke Avenue,Tokushima Prefecture,33.9419655,134.3236557
Virginia,Kayes Region,14.0818308,-9.9018131
Wash. DC,PÄ¼aviÅ†as Municipality,56.6177313,25.7194043
Washington,VÄ©nh PhÃºc,21.3608805,105.5474373
Washington DC,Ruvuma,-10.6878717,36.2630846
Webster Ave.,Canton of Diekirch,49.8671784,6.1595633
Wisconsin,Flacq District,-20.2257836,57.7119274
2932 University Drive,Christ Church Nichola Town Parish,17.3604812,-62.7617837
Afghanistan,Famagusta District (MaÄŸusa),35.2857023,33.8411288
Alder St,Briceni District,48.3632022,27.0750398
Amsterdam,Minas Gerais,-18.512178,-44.5550308
Atlanta,Tripura,23.9408482,91.9881527
Boston,Saint Thomas Middle Island Parish,17.3348813,-62.8088251
Bowling Green,Tachov,49.7987803,12.6361921
Bremerhaven,Louny,50.3539812,13.8033551
Bronx,Angus,37.2757886,-95.6501033
Buenos Aires,Muchinga Province,-15.382193,28.26158
Cairo,Soriano Department,-33.5102792,-57.7498103
California,London Borough of Croydon,51.3827446,-0.0985163
Camp George West Military Reservation,Wyoming,43.075968,-107.290284
Canada,Horjul Municipality,46.0225378,14.2986269
Capitol Ave.,Quezon,14.0313906,122.1130909
Charlottesville,Bouenza Department,-4.1128079,13.7289167
Chicago,Danilovgrad Municipality,42.58357,19.140438
City Park,SucumbÃ­os,0.0889231,-76.8897557
Coal Mine Road,Bursa,40.0655459,29.2320784
Colfax Avenue,KasaÃ¯ Central,-8.4404591,20.4165934
Colorado,Inner Mongolia,43.37822,115.0594815
Columbus,Copperbelt Province,-13.0570073,27.5495846
Cuba,Mato Grosso do Sul,-20.7722295,-54.7851531
Culver City,Manchester,53.4807593,-2.2426305
Denver,Benishangul-Gumuz Region,10.7802889,35.5657862
Detroit,Denizli,37.6128395,29.2320784
Dulles Airport,Carchi,0.5026912,-77.9042521
Egypt,London Borough of Islington,51.5465063,-0.1058058
El Paso,Montana,46.8796822,-110.3625658
El Segundo,KiÄevo Municipality,41.5129112,20.9525065
Europe,Kosi Zone,27.0536524,87.3016132
Floyd Ave.,TÃ¶v Province,47.2124056,106.41541
France,New Hampshire,43.1938516,-71.5723953
Georgia,Háº­u Giang,9.757898,105.6412527
Germany,Delta,33.7453784,-90.7354508
Green Bay,Gulbene Municipality,57.2155645,26.6452955
Greenlawn Ave.,Diekirch District,49.867172,6.1596362
Guantanamo,Kurdistan Province,35.9553579,47.1362125
Haarlem,Coquimbo,-30.540181,-70.8119953
Hamburg,Stara Zagora Province,42.4257709,25.6344855
Hezboliah,Masbate,12.3574346,123.5504076
Houston,North Central Province,8.1995638,80.6326916
Howell St.,Ntchisi District,-13.2841992,33.8857747
Lublin,Thimphu District,27.4712216,89.6339041
Manhattan,Saint Joseph,39.7674578,-94.846681
Hezboliah,Moyen-Cavally,6.5208793,-7.6114217
