location,label,lat,lng
2932 University Drive,Egypt,26,30
Afghanistan,India,20.593684,78.96288
Alder St,Arizona,34.048928,-111.093731
Amsterdam,Myanmar [Burma],21.913965,95.956223
Atlanta,Andorra,42.546245,1.601554
Boston,Virginia,37.431573,-78.656894
Bowling Green,Georgia,42.315407,43.356892
Bremerhaven,Bulgaria,42.733883,25.48583
Bronx,Saint Vincent and the Grenadines,8.984305,-61.287228
Buenos Aires,Poland,51.9194,19.1451
Cairo,West Virginia,42.597626,-80.454903
California,Khanty-Mansiysk,61,69
Camp George West Military Reservation,Smolensk,54.7828,32.0453
Canada,Lesotho,-29.609988,28.233608
Capitol Ave.,Dominica,15.414999,-61.370976
Charlottesville,Ireland,53.41291,-8.24389
Chicago,Alaska,63.588753,-154.493062
City Park,Louisiana,31.244823,-92.145024
Coal Mine Road,Saudi Arabia,23.885942,45.079162
Colfax Avenue,Cocos [Keeling] Islands,-12.164165,96.870956
Colorado,Nigeria,9.081999,8.675277
Columbus,Somalia,5.152149,46.199616
Cuba,Fiji,-16.578193,179.414413
Culver City,Moldova,47.411631,28.369885
Denver,Blagoveshchensk,50.2578,127.5364
Detroit,Makhachkala,42.9833,47.4833
Dulles Airport,Palau,7.51498,134.58252
Egypt,Spain,40.463667,-3.74922
El Paso,Illinois,40.633125,-89.398528
El Segundo,Petrozavodsk,61.7833,34.35
Europe,Wisconsin,43.78444,-88.787868
Floyd Ave.,Morocco,31.791702,-7.09262
France,Lithuania,55.169438,23.881275
Georgia,Murmansk,68.9667,33.0833
Germany,Panama,8.537981,-80.782127
Green Bay,Portugal,39.399872,-8.224454
Greenlawn Ave.,Vatican City,41.902916,12.453389
Guantanamo,New Zealand,-40.9006,174.886
Haarlem,British Indian Ocean Territory,-6.343194,71.876519
Hamburg,Turkmenistan,38.969719,59.556278
Hezboliah,Togo,8.6195,0.8248
Houston,Western Sahara,24.215527,-12.885834
Howell St.,Albania,41.1533,20.1683
Hubbard St.,Montana,46.879682,-110.362566
Hudspeth County,Australia,-34.9285,138.6007
Illinois,Ghana,7.946527,-7.023194
Imperial Highway,Mayotte,-12.8275,45.166244
Kandahar,Krasnoyarsk,56.0167,92.8667
Kentucky,Paraguay,-23.4425,-58.4438
Keswick,Nebraska,41.492537,-99.901813
Laurel Avenue,Nalchik,43.4833,43.6167
LAX,Nauru,-0.522778,166.931503
Lee Highway,Syria,34.802075,38.996815
Little York Rd.,Canada,51.2538,-85.3232
London,Libya,26.3351,17.228331
Los Angeles,Maykop,44.6,40.0833
Lublin,Indiana,40.551217,-85.602364
Manhattan,Iraq,33.223191,43.679291
Marshall Avenue,Uzbekistan,41.377491,64.585262
McNary,Chad,15.454166,18.732207
McRae Blvd,Australia,35.4437,139.638
Merrifield,Colombia,4.570868,-74.297333
Miami,Belize,17.189877,-88.49765
Michigan,Finland,61.92411,25.748151
Minneapolis,Isle of Man,54.236107,-4.548056
Minnesota,Sri Lanka,7.873054,80.771797
Myrtle Ave,Samoa,-13.759029,-172.104629
New Jersey,South Korea,35.907757,127.766922
New Orleans,Slovenia,46.151241,14.995463
New York,Rwanda,-1.940278,29.873888
New York City,Lebanon,33.8547,35.8623
North Bergen,Guinea,9.945587,-9.696645
O'Hare,China,35.86166,104.195397
Paddington,Philippines,12.879721,121.774017
Paris,Wallis and Futuna,-13.768752,-177.156097
Poland,Cayman Islands,19.513469,-80.566956
Queens,Antigua and Barbuda,17.060816,-61.796428
Rhinelander Platz.,Bryansk,53.25,34.3667
Richmond,Switzerland,46.818188,8.227512
Rio Grande,Idaho,44.068202,-114.742041
Rue St. Sebastien,El Salvador,13.794185,-88.89653
San Gabriel,San Marino,43.94236,12.457777
Seattle,Argentina,-38.4161,-63.6167
Sheldon St.,Tajikistan,38.861034,71.276093
Springfield,Ukraine,48.379433,31.16558
Springfield Mall,Yakutsk,62.0272,129.7319
Springfield VA,Monaco,43.750298,7.412841
St. Mary 's Terrace,Dominican Republic,18.7357,-70.1627
St. Mary's Road,Magadan,59.5667,150.8
Sudan,India,20.593684,78.96288
Texas,Grenada,12.262776,-61.604171
The Netherlands,Anguilla,18.220554,-63.068615
Trenton,Uruguay,-32.522779,-55.765835
Trenton Avenue,Hungary,47.1625,19.5033
United Arab Emirates,Ulyanovsk,54.3167,48.3667
University Drive,Florida,27.664827,-81.515754
US,Czech Republic,49.817492,15.472962
Van Dyke Avenue,Papua New Guinea,-6.314993,143.95555
Virginia,Uganda,1.373333,32.290275
Wash. DC,Rhode Island,41.580095,-71.477429
Washington,Gaza Strip,31.354676,34.308825
Washington DC,Trinidad and Tobago,10.691803,-61.222503
Webster Ave.,Spain,40,-4
Wisconsin,Belgorod,50.6,36.6
London,Maryland,39.045755,-76.641271
Los Angeles,Serbia,44.0165,21.0059
Lublin,France,46.227638,2.213749
Manhattan,South Africa,-30.559482,22.937506
Marshall Avenue,Switzerland,46.8182,8.2275
McNary,El Salvador,13.794185,-88.89653
McRae Blvd,Singapore,1.2833,103.8333
Merrifield,Cheboksary,56.1333,47.25
Miami,South Carolina,33.836081,-81.163725
Michigan,Murmansk,68.9667,33.0833
Minneapolis,Vologda,59.2167,39.9
Minnesota,Mexico,23.634501,-102.552784
Myrtle Ave,Oklahoma,35.007752,-97.092877
New Jersey,Malta,35.937496,14.375416
New Orleans,Puerto Rico,18.220833,-66.590149
New York,Heard Island and McDonald Islands,-53.08181,73.504158
New York City,Belgium,50.8333,4
North Bergen,Laos,19.85627,102.495496
O'Hare,Illinois,40.633125,-89.398528
Paddington,Iceland,64.9631,-19.0208
Paris,South Korea,35.907757,127.766922
Poland,Armenia,40.0691,45.0382
Queens,Mauritania,21.00789,-10.940835
Rhinelander Platz.,Indonesia,-0.789275,113.921327
Richmond,Vladimir,56.1286,40.4058
Rio Grande,Fiji,-16.578193,179.414413
Rue St. Sebastien,Latvia,56.879635,24.603189
San Gabriel,Arkhangelsk,64.55,40.5333
Seattle,Washington,47.751074,-120.740139
Sheldon St.,Dominican Republic,18.735693,-70.162651
Springfield,Yekaterinburg,56.8356,60.6128
Springfield Mall,Ufa,54.7333,55.9667
Springfield VA,Kiribati,-3.370417,-168.734039
St. Mary 's Terrace,Djibouti,11.825138,42.590275
St. Mary's Road,Saint Helena,-24.143474,-10.030696
Sudan,Mali,17.570692,-3.996166
Texas,Ecuador,-1.831239,-78.183406
The Netherlands,Peru,-9.189967,-75.015152
Trenton,Cocos [Keeling] Islands,-12.164165,96.870956
Trenton Avenue,Puerto Rico,18.220833,-66.590149
United Arab Emirates,Netherlands Antilles,12.226079,-69.060087
University Drive,Germany,51.165691,10.451526
US,Monaco,43.7333,7.4167
