cluster,person,list1,list2,organize,map,x,y,perc
1,"19,33","2,36,41","46,41","4,24,26",41,1.948569212,0.474279487,0.333333337
2,"19,33","2,36,41","32,41","24,26,40",41,0.664350869,-0.224068581,0.333333337
3,"19,33","2,36,41","28,41","26,40,47",41,0.852894652,0.403737229,0.333333337
4,"28,17","4,10,19,21","31,4","17,21,24",4,1.271681597,1.729875055,0.333333337
5,"28,17","4,10,19,21","5,4","17,29,33,45",4,1.455373116,-0.119733449,0.333333337
6,"28,17","4,10,19,21","19,31","11,24,48",19,0.555553663,0.58602646,0.25
7,"28,17","4,10,19,21","19,46","1,11,24",19,2.449226202,-0.466684127,0.25
8,"28,17","4,10,19,21","19,12","11,32,48",19,1.776425257,1.666710812,0.25
9,"45,19","2,10,28","28,41","26,40,47",28,0.185319943,-0.264104158,0.25
10,"45,19","2,10,28","28,32","26,34,40",28,-0.043830565,0.567015252,0.333333337
11,"45,28","4,10,31","31,4","17,21,24","31,4",1.254542548,1.518500121,0.333333337
12,"45,28","4,10,31","5,4","17,29,33,45",4,0.736867031,1.169134681,0.25
13,"45,28","4,10,31","46,31","11,24,43",31,0.368699948,-0.164513349,0.333333337
14,"45,28","4,10,31","27,31","8,11,17",31,2.8,0.10557962,0.25
15,"45,28","4,10,31","19,31","11,24,48",31,0.391981293,-0.041461204,0.333333337
16,"9,17","4,10,17","31,4","17,21,24",4,1.2,-0.315904959,0.333333337
17,"9,17","4,10,17","5,4","17,29,33,45",4,0.6,-0.09839177,0.25
18,"9,28","4,10,38,44","31,4","17,21,24",4,2.3,1.8,0.4
19,"9,28","4,10,38,44","5,4","17,29,33,45",4,0.8,0.009464981,0.333333337
20,"9,28","4,10,38,44","1,38","16,21,28,33",38,-0.078482767,0.958987877,0.333333337
21,"9,45","4,10,34","31,4","17,21,24",4,0.33724393,-0.429378079,0.333333337
22,"9,45","4,10,34","5,4","17,29,33,45",4,0.219109107,0.033584931,0.25
23,"18,28","21,38,48","1,38","16,21,28,33",38,1.655880793,1.84440217,0.333333337
24,"30,19","10,26,29","26,15","27,38,41",26,1.935494449,-0.445610545,0.333333337
25,"40,21","14,32,39","32,41","24,26,40",32,1.006575208,1.849318373,0.333333337
26,"40,21","14,32,39","28,32","26,34,40",32,1.586761461,1.625304177,0.333333337
27,"40,21","14,32,39","39,12","11,27,48",39,1.857150404,1.990725987,0.333333337
28,"40,21","14,32,39","39,27","7,9,11",39,0.737157141,0.130076393,0.333333337
29,"40,21","14,32,39","9,39","7,14,27",39,1.276932005,1.050143734,0.333333337
30,"15,21","7,17,39","7,9","7,14,17",7,2.235301034,0.54006563,0.25
31,"15,21","7,17,39","39,12","11,27,48",39,-0.451304756,1.7074183,0.333333337
32,"15,21","7,17,39","39,27","7,9,11",39,1.007906101,1.654727806,0.333333337
33,"15,21","7,17,39","9,39","7,14,27",39,0.980557802,-0.184468945,0.333333337
34,"48,19","2,28,29","28,41","26,40,47",28,0.27711251,1.894147602,0.25
35,"48,19","2,28,29","28,32","26,34,40",28,1.757612705,0.87674995,0.25
36,"48,45","2,28,34","28,41","26,40,47",28,1.392893517,0.667529148,0.333333337
37,"48,45","2,28,34","28,32","26,34,40",28,0.915522696,-0.380781721,0.2
38,"27,19","26,28,41","26,15","27,38,41",26,0.717131364,-0.637206837,0.333333337
39,"27,19","26,28,41","28,41","26,40,47","28,41",0.137241691,0.732492234,0.5
40,"27,19","26,28,41","28,32","26,34,40",28,1.624172239,1.119264706,0.333333337
41,"27,19","26,28,41","46,41","4,24,26",41,1.555677146,0.108029931,0.333333337
42,"27,19","26,28,41","32,41","24,26,40",41,1.46865606,1.746491034,0.333333337
43,"2,42","1,3,43","1,38","16,21,28,33",1,-0.258346867,-0.381839663,0.25
44,"5,28","31,44,47","46,31","11,24,43",31,0.229983531,1.621580133,0.333333337
45,"5,28","31,44,47","27,31","8,11,17",31,0.551022008,1.762066806,0.333333337
46,"5,28","31,44,47","19,31","11,24,48",31,-0.475859102,1.889005045,0.333333337
47,"13,19","2,10,41,45","46,41","4,24,26",41,1.003109995,1.128449184,0.5
48,"13,19","2,10,41,45","32,41","24,26,40",41,1.443730197,1.338598108,0.333333337
49,"13,19","2,10,41,45","28,41","26,40,47",41,0.326782341,0.861803495,0.333333337
50,"6,21","7,14,37","7,9","7,14,17",7,-0.163692373,-0.147655332,0.333333337
