mg,mo,gm,go,om,og
"8,25,28,47","1,4,24,25",26,"5,10,22","22,24,27,36,43","7,12,20,24,44,47,48"
"1,28,38","13,16,44,45,48","1,5,10,19,32,38","6,8,18,19,22,36,38,43","0,10,14,18,28,35,38","11,45"
"3,15,19,25","2,18,30","6,18,23,37,46","12,16,23,25,34","2,6,26,34,40","3,10,14,16,21,23,36,44"
"18,27,45,46,47","12,15,22,34,37,38,46","2,16,47","2,3,6,13,24,33,41","11,15,20,24,28,46","3,5,6,10,29"
"4,10,29,31,35,41,49","8,18,22,36,47","4,22,39,43","26,45,49","0,9,24,49","16,28"
"1,11,29,30,33,41,43","14,22","16,25,42,49","3,34,42,46","27,32,37,42,45,47","0,11,25"
"2,7,17,19,23,29,32,47,48","2,13,30,38,41,42,46","14,20,22,25,27,32,46","3,16,21,27,32,35,42","7,26,30,31,48","1,3,17,23,37"
"22,25,30,34,35,40,44","6,18,20,27","6,16,21,24,26,48","0,8,11,13,29,41","10,11,17,18,19,20,31,35,37,49","13,28,29"
"24,34,44","9,13,22,25,32,40,41","0,10,12,38","16,28,34,43","4,32,44","1,7,20,29,35,40"
"13,16,17,22,26","4,9,19,26,31,43,49","15,30,32,44,48","20,22,33,35,36,37,41","8,9,38,46","15,23,32"
"1,8,25,42","1,7,17,18,22,25,36,41,44,45,49","4,26,28,30,40","2,3,28,30,39,42","12,16,45","0,16,36,37,38,43"
38,"3,7,22,38,43","5,16,32,35,37,38","1,5,11,30","13,14,15,32,39","7,11,19,34,41,45,48"
"8,12,23,32,46","10,33,34,35,39","12,13,28,36,40,42","0,16,23,39","3,18,19,39,47","2,18,31,32,40"
"12,21,28,33,34,48","11,26,31,34,40","9,44","7,41","1,6,8,18,40","3,7,31,34,36,49"
"6,34","1,11,14,18,20,33,36","15,28,29,31","2,16,17,25,33,34,39,41,44,45","5,14,17,34,44","27,30,32"
"9,14,15,20,28,30,33,37","3,11,28,30,47","2,15,16,22,30,39","9,19,30","3,32,38,42",46
"3,5,7,11,15,17,31","10,25,30,31","9,21,44","2,4,10,21,31,35",1,"2,6,8,12,14,32,35,42"
"41,43","7,14,23,32,35,37","6,9,16,22,49","6,21","10,27,49","14,20,24"
"2,25,30,37,39,43,44","1,7,12,13,30,40","3,29,37,38,41","12,24,29,32,38","2,4,7,10,14,26,48","1,19,29,31"
1,"7,12,26,27,39,47","2,6,23,32,33,49","11,18,24,39,45","9,25,38,47","1,15,35,41"
"6,26,31,43,46","3,7,23,25,46,48","15,26,40","0,8,17,26,38","7,14,37,47,48","9,26,28,33,40"
"7,16","23,26,43,44","13,30,32,37","2,23,37,41",26,"6,16,17,47"
"4,6,15,17,26,42",2,"7,9,26,31,35,47","32,41,45","3,4,5,8,10,11","0,1,9,23,29,45"
"2,19,25,37,40,47,49",2,"6,12,34,35,38,49","2,6,9,22,27,44,49","17,20,21,25,35,46","2,12,21"
"7,35,39,40,41","0,3,4,42,47","8,30,32,35,48","0,17,34,41,46","0,26,44,46","3,18,19,31,39,47"
"5,6,27,42,47,49","19,23,26,27,39,47","0,2,7,10,18,23,35,43,45","5,39","0,8,10,16,20","2,14,30,31,36,40,47,49"
"0,7,10,20,22,49","2,6,18,21,24,32,34,41,43,44","9,20,22,27,30,32,44","20,30,46,47","9,13,19,21,25,31,40","4,20,40"
"6,26,28,48","0,5,17,33,39,47","3,25,32,36","14,27,45","7,19,25,40,41","6,23,27,39,42"
"10,12,14,39,43","1,3,42","0,1,13,15,27,37,42,48","4,7,20,29,38,41",15,"8,10,34"
"14,18,37,41","35,37,43,49","4,5,6,31,33","3,7,8,18,22,30,34,38","42,44,48","7,18,28,35,41,44,47,49"
"9,10,15,21,24,26,34,49","6,32,36,43","5,7,15,18,42","14,25","2,6,15,16,18,44","10,11,15,26,29,36"
"14,22,29,44","6,7,26,43,49","4,16,20,36,47,49","12,13,18,24,25,40,46","9,13,16,44,45,46","16,35,37,41"
"1,6,9,11,19,21,24,26,27,36,38,39,47,48","5,8,11,15,34,39","6,12,35,37,42","9,12,14,16,33,44","8,17,26,30,35,41","6,18,22,35,37,38,41,48"
"19,29","35,48,49","5,13,15","20,40,47","12,14,22,27,46,47","3,9,14,32"
"23,34,36,42,47,48","2,14,35","7,8,13,14,30,34,35","11,13,28,41,48","3,12,13,26,32,45,47","2,5,8,14,24,29,35"
"11,22,23,24,25,32,34,36,45","1,7,23,32,44","4,7,24","8,16,19,29,31,32,34,48","12,17,29,33,34","6,9,16,36,40,46,49"
"12,27,31",0,"32,34,35,41,43","2,10,13,25,30,35","4,10,14,30","1,9,39,41"
"2,11,18,21,28,32,46","5,7,20,42","15,18,23,29,48","6,10,31,32,38,46","3,17,29,40,43","9,21,38,41,42,46"
"1,8,11,18,23,49","1,9,15,19,40,43,46","1,11,32,42,48","10,32,37","3,6,11,47","1,18,20,28,29,37,42,49"
"4,15","11,12,39","18,24,28,32","24,27,36,45","12,19,25,27,32,39","10,12,14,19,25,42,43"
"10,12,20","2,13,26,27,37","7,23,24,43,44","8,12,20,25,26,35","8,13,18,38,47","31,33"
"18,36,44","27,32,48","4,5,17,24,29,43","11,19,29,31,32,36,37,41,44","6,8,10,26","3,7,9,13,14,21,22,24,28,34,41,45,46"
"5,12,28,30,32,38","5,15,29","10,22,25,34","16,27,37,38,39","6,24,28,37,46,48","5,6,10,48"
"4,25,36,40,41,44","0,37,47","5,17,18,20,28","10,39","9,11,21,26,29,30,31,38,45","1,8,48"
"9,13,16,26,40","8,14,24,29,30,31,48","7,8,18,31,41,43,46","0,2,29,45","1,10,21,26,35,48","14,23,32,41,48"
25,"5,10,31,34,43","3,35,47","1,11,22,41","1,10","4,14,19,22,27,39,44"
"2,6,44","3,9,23,24,31,33,42","3,12,20,37","15,35,37,41","3,6,20,38,48","5,24,26,31,37"
"3,22,31,45","5,12,19,20,33,34,38,40","0,3,6,23,25,32,34","0,21,24,25,29","4,15,19,24,25,27,43","26,33"
"7,9,24,28,37,38","6,18,20,29,42,44,46,48","6,13,27,32,34","0,11,32,42,43,44,49","1,20,33,41,44,48","34,35"
"5,17,19,23,31","4,7,17","4,23,25,26,30,38","13,25,29,35,38,49","9,10,29,31,33","4,23,48,49"
