mg,mo,gm,go,om,og
"4,5,7,13,14,17,20,21,23,31,34,35,39","8,10,15,23,34,37,42,44,45","7,13,21,22,24,26,28,40,42,45,47","8,11,12,13,16,19,20,27,28,31,33,35,39,42,44,45,46,49","1,6,9,10,23,25,28,32,34,36,39,40,44,45","1,3,9,10,11,20,27,28,48"
"2,3,8,13,16,19,24,27,30,37","0,3,7,9,13,14,16,18,32,35,36,40,41,47","13,17,27,29,40,42,44","0,1,3,13,22,24,25,33,40,42","12,18,20,24,28,30,35,37","1,2,14,21,26,28,32,39,43,47,48"
"12,19,23,33,34,36,41,45","5,16,20,25,38,39,40,47","1,3,6,15,17,18,20,22,29,30,40","1,10,12,15,30,33,44","5,8,17,25,30,32,36","6,12,17,19,23,29,32,46"
"2,7,10,11,14,16,22,28,30,32,39,41","8,10,11,15,18,21,24,27,30,34,36,41,43,44","1,7,11,12,16,17,21,23,26,28,30,31,34,39,43,47,48","0,4,13,18,24,27,28,32,35,39,47,48","1,11,20,25,31,34,42,45","1,4,6,8,11,16,18,19,25,39,48"
"4,6,16,18,22,28,29,39,41,46","12,13,28,30,34,39,41,46","0,4,6,8,37,46","3,5,9,12,21,22,29,35,36,38,40,41,43,45,48","16,24,28,37,39,48","3,9,14,20,25,26,28,41,43,47,48"
"5,11,12,14,17,19,20,22,23,25,29,32,36,43","2,16,24,26,31","0,5,9,25,29,38,43,44,46,47","21,22,37,45,49","2,8,17,22,24,35,37,47","4,7,11,19,26,30,34,38,40,43,46"
"2,4,7,11,20,21,26,29,31,33,34,38,40,41,46","0,20,25,33,39,42","4,11,14,17,20,23,37,41,48","2,3,6,8,16,18,21,28,30,37,41,45","7,11,12,14,17,18,21,23,27,37,38","6,10,12,16,22,23,28,38"
"0,3,9,11,13,14,15,17,20,28,29,43","6,9,11,21,24,28,31,43,45,46,48","0,3,6,11,14,16,17,18,25,43,44","5,10,14,24,32,36,39,46","1,8,13,14,17,31,33","8,9,13,19,27,30,31,35,39"
"4,8,12,15,18,22,32,33,42","2,5,7,10,16,18,36,41,45,48","1,8,9,16,36,39,44","3,7,17,29,35,38,47,49","0,3,9,11,13,23,25,33,38,42","0,6,12,16,17,19,33,41,44"
"5,8,14,18,20,24,25,29,37,39,40,41","0,8,15,21,25,30,37,39,42","7,16,20,22,27,32,42,43,48","0,4,7,11,17,28,31,37","1,7,11,14,17,19,21,24,25,30,31,35,40,42,43,48","4,12,21,46,48"
"10,18,26,28,34,36","0,10,15,23,24,27,31,32,34,36,43","3,10,16,27,32,34,47","0,6,12,16,18,25,27,34,40,47","0,3,8,10,32,40,41,45,48","2,7,11,12,13,15,19,21,27,41,42,43,45"
"3,6,7,11,19,31,33,35,38,41,46,47,48","3,6,8,9,17,19,34,39,41,48","3,5,6,7,11,34,41,43","0,3,5,10,14,16,18,19,20,22,24,31,39,44,46","3,7,16,24,30,35","0,9,15,20,21,29,32,36,40,41,43,47"
"3,16,35,36,37,38,41,43,47","1,6,12,17,36,38,44","2,5,8,14,22,23,28,31,42","2,6,8,9,10,12,15,20,23,35,40,41,44","4,12,16,23,24,27,31,37,39,43","0,2,4,10,12,24,29,38"
